Name,Ticker,"Sub-Sector","Market Cap","Total revenue (Q)","PBT (Q)","PBIT (Q)","Operating and Other Expenses (Q)","Net Income (Q)","EPS (Q)","EBITDA (Q)","Total Revenue","Taxes & Other Items","Selling & Administrative Expenses","Raw Materials","Payout Ratio","Power & Fuel Cost","PBT","PBIT","Operating & Other expenses","Net Income","Interest & Other Items","Earnings Per Share","Employee Cost","EBITDA","Dividend Per Share","Depreciation & Amortization"
Shree Krishna Paper Mills & Industries Ltd,SKPMIL,"Paper Products","31.95172984","44.72","1.6199999999999977","3.0299999999999976","40.6","0.7099999999999975","0.53","4.119999999999997","191.5","4.02",,,"0",,"16.589999999999986","21.389999999999986","165.83","12.569999999999986","4.8","9.29",,"25.669999999999987","0","4.28"
DSP Nifty50 Equal weight ETF,DSPNEWETF,"Equity","31.948726656",,,,,,,,,,,,,,,,,,,,,,,
Mangalam Timber Products Ltd,MANGTIMBER,"Wood Products","31.798039","2.85","-6.81","-3.6499999999999995","6.14","-4.8","-2.62","-3.2899999999999996","6.7700000000000005","-8.53","1.98","2.9","0","3.09","-27.33","-14.719999999999999","6.41","-18.799999999999997","12.61","-10.256690035189173","5.66","-13.27","0","1.45"
Intec Capital Ltd,INTECCAP,"Specialized Finance","31.7736125","5.82","-12.420000000000002","-12.420000000000002","18.1","-21.53","-11.72","-12.280000000000001","8.5","8.64",,,"0",,"-19.52","-19.52","27.46","-28.16",,"-15.33",,"-18.96","0","0.56"
Maris Spinners Ltd,MARIS,"Textiles","31.7386638","44.71","-3.5399999999999996","-2.3099999999999996","45.39","-1.7699999999999996","-2.65","-0.6799999999999997","149.95","-4.83",,,"0",,"-15.690000000000014","-10.540000000000013","155.06","-10.860000000000014","5.15","-14.13",,"-5.110000000000014","0","5.43"
SBI-ETF Quality,SBIETFQLTY,"Equity","31.730069844000003",,,,,,,,,,,,,,,,,,,,,,,
PCS Technology Ltd,PCS,,"31.530768885000004","0.8","0.11000000000000001","0.21000000000000002","0.54","-0.03","-0.01","0.26","3.05","0.37",,,"0",,"0.7699999999999999","1.17","1.69","0.3999999999999999","0.4","0.19",,"1.3599999999999999","0","0.19"
Rolta India Ltd,ROLTA,"IT Services & Consulting","31.51935745","22.95","-239.45","-25.07","36.96","-281.09","-16.94","-14.010000000000002","268.07","29.56","22.84","8.2","0","0","-683.01","76.53","80.38999999999999","-712.5699999999999","759.54","-42.954016500739286","31.59","125.05000000000001","0","48.52"
Continental Petroleums Ltd,CONTPTR,"Commodity Chemicals","31.506495583999996","27.39","2.4300000000000024","2.750000000000002","24.24","1.7600000000000025","3.59","3.150000000000002","98.49","1.54",,,"0",,"5.479999999999991","6.769999999999991","90.98","3.9399999999999906","1.29","8",,"7.509999999999991","0","0.74"
Motilal Oswal M50 ETF,MOM50,"Equity","31.504857428999998",,,,,,,,,,,,,,,,,,,,,,,
TCFC Finance Ltd,TCFCFINQ,"Investment Banking & Brokerage","31.446387","-0.09","-0.48","-0.48","0.39","-0.5800000000000001","-0.55","-0.48","2.15","0.3400000000000001",,,"0",,"0.94","0.94","1.2","0.5999999999999999",,"0.57",,"0.95","0","0.01"
RM Drip & Sprinklers Systems Ltd,RMDRIP,"Agricultural & Farm Machinery","31.443","21.98","2.74","3.14","18.07","1.9800000000000002","2.95","3.91","13.82","0.05",,,"0",,"0.08000000000000007","1.02","11.91","0.03000000000000007","0.94","0.04",,"1.9100000000000001","0","0.89"
Rite Zone Chemcon India Ltd,RITEZONE,"Construction & Engineering","31.303998",,,,,,,,"22.49","0.26",,,"0",,"1.0899999999999992","1.1899999999999993","21.04","0.8299999999999992","0.1","2.37",,"1.4499999999999993","0","0.26"
Nippon India ETF 5 Year Gilt,GILT5YBEES,"Debt","31.257184430000002",,,,,,,,,,,,,,,,,,,,,,,
Evans Electric Ltd,EVANS,"Business Support Services","31.25416",,,,,,,,"19.83","1.08",,,"0",,"4.7399999999999975","4.819999999999998","14.82","3.6599999999999975","0.08","13.35",,"5.009999999999998","0","0.19"
Unick Fix-A-Form and Printers Ltd,UNICK,"Packaging","31.20965","15.96","0.5300000000000005","1.0600000000000005","13.9","0.39000000000000046","0.74","2.0600000000000005","66.68","0.75",,,"0",,"2.9800000000000084","5.360000000000008","57.4","2.2300000000000084","2.38","4.09",,"9.280000000000008","0","3.92"
Humming Bird Education Ltd,HBEL,,"31.1404","0.56","0.02000000000000006","0.02000000000000006","0.49","0.01000000000000006","0.2","0.07000000000000006","2.72","0.05",,,"0",,"0.3100000000000004","0.3100000000000004","2.3","0.2600000000000004","0","4.26",,"0.4200000000000004","0","0.11"
Arunjyoti Bio Ventures Ltd,ABVL,"Commodities Trading","31.104918","1.26","0.17999999999999994","0.16999999999999993","1.09","0.17999999999999994","0.81","0.16999999999999993","1.83","0.04",,,"0",,"0.27","0.27","1.56","0.23","0","1.07",,"0.27","0","0"
Roopa Industries Ltd,ROOPAIND,"Specialty Chemicals","31.068804","18.48","0.2499999999999999","0.8499999999999999","17.39","0.23999999999999988","0.3","1.0899999999999999","76.82","0.45",,,"0",,"1.8099999999999863","3.9999999999999862","71.93","1.3599999999999863","2.19","1.73",,"4.889999999999986","0","0.89"
BC Power Controls Ltd,BCP,"Cables","31.061","10.27","-0.2400000000000002","-0.2400000000000002","10.51","-0.1600000000000002","-0.02","-0.2400000000000002","96.48","0.24",,,"0",,"0.9499999999999988","1.3999999999999988","95.01","0.7099999999999989","0.45","0.11",,"1.4699999999999989","0","0.07"
DECO MICA Ltd,DECOMIC,"Building Products - Laminates","31.038","18.25","1.53","2.25","15.67","1.01","2.43","2.58","79.08","1.02",,,"0",,"3.2900000000000036","5.6700000000000035","72.1","2.2700000000000036","2.38","5.43",,"6.980000000000004","0","1.31"
Response Informatics Ltd,RESPONSINF,,"31.02706","8.56","0.5900000000000009","0.7100000000000009","7.85","0.4300000000000008","0.56","0.7100000000000009","11.29","0.13",,,"0",,"0.7599999999999996","0.7699999999999996","10.52","0.6299999999999996","0.01","0.83",,"0.7699999999999996","0","0"
Luharuka Media & Infra Ltd,LUHARUKA,"Real Estate","31.02132","0.43","0.15000000000000002","0.15000000000000002","0.27999999999999997","0.10000000000000002","0.01","0.15000000000000002","1.93","0.23",,,"0",,"0.8999999999999999","0.8999999999999999","1.03","0.6699999999999999",,"0.07",,"0.8999999999999999","0","0"
Bhilwara Spinners Ltd,BHILSPIN,"Textiles","30.979497660000003","0.4","0.31","0.31","0.07","0.24","0.35","0.33","4.49","0.56",,,"0",,"3.18","3.19","1.28","2.62","0.01","3.86",,"3.21","0","0.02"
Laffans Petrochemicals Ltd,LAFFANSQ,,"30.96","2.74","1.5","1.52","1.1","1.18","1.47","1.6400000000000001","20.759999999999998","0.5700000000000001","0.85","16.32","0","0.04","1.3699999999999977","1.4699999999999978","0.7900000000000001","0.7999999999999976","0.1","0.999999999999997","0.82","1.9399999999999977","0","0.47"
Tirupati Sarjan Ltd,TIRSARJ,"Real Estate","30.82015535","55.2","0.31000000000000494","1.620000000000005","53.19","0.22000000000000494","0.07","2.010000000000005","158.42","1.13",,,"0",,"4.14999999999999","11.90999999999999","145.47","3.01999999999999","7.76","0.92",,"12.949999999999989","0","1.04"
Cargotrans Maritime Ltd,CARGOTRANS,,"30.7224",,,,,,,,"74.4","0.77",,,"0",,"3.1200000000000077","3.1500000000000075","70.83","2.3500000000000076","0.03","5.74",,"3.5700000000000074","0","0.42"
Morgan Ventures Ltd,MORGAN,,"30.68597","-0.36","-3.32","-3.32","2.96","-2.71","-2.74","-3.32","12.76","1.51",,,"0",,"8.079999999999998","8.079999999999998","4.680000000000001","6.5699999999999985",,"6.64",,"8.079999999999998","0","0"
Winro Commercial (India) Ltd,WINROC,"Diversified Financials","30.618242519999896","-130.13","-134.86","-134.86","4.62","-138.13000000000002","-1102.69","-134.75","134.27","35.89",,,"0",,"118.27000000000001","118.27000000000001","15.57","82.38000000000001",,"657.69",,"118.70000000000002","0","0.43"
Balgopal Commercial Ltd,BALGOPAL,"Apparel & Accessories","30.57652","-2.73","-3.9","-3.9","1.17","-3.78","-2.29","-3.9","8.13","-0.14",,,"0",,"0.030000000000001137","0.030000000000001137","8.1","0.17000000000000115","0","0.1",,"0.030000000000001137","0","0"
Bhaskar Agro Chemicals Ltd,BHASKAGR,,"30.570126444","9.78","-1.8699999999999999","-1.4","10.87","-1.3399999999999999","-2.56","-1.0899999999999999","55.26","1.62",,,"0",,"1.849999999999996","3.559999999999996","50.49","0.22999999999999599","1.71","0.45",,"4.769999999999996","0","1.21"
Garbi Finvest Ltd,GARBIFIN,"Consumer Finance","30.499768","4.18","3.9499999999999997","3.9499999999999997","0.23","3.0199999999999996","2.56","3.9499999999999997","6.76","0.02",,,"0",,"5.89","5.89","0.8699999999999999","5.87",,"5.01",,"5.89","0","0"
Megri Soft Ltd,MEGRISOFT,"IT Services & Consulting","30.433383","0.74","0.18999999999999997","0.18999999999999997","0.53","0.13999999999999996","0.46","0.20999999999999996","2.57","0.17",,,"0",,"0.6999999999999997","0.6999999999999997","1.8","0.5299999999999997","0","1.64",,"0.7699999999999998","0","0.07"
Sumedha Fiscal Services Ltd,SUMEDHA,"Investment Banking & Brokerage","30.380733319999997","10.08","-1.8599999999999994","-1.8599999999999994","11.77","-0.8499999999999994","-1.06","-1.6899999999999995","60.74","0.10000000000000003",,,"0.5235602094240838",,"1.6499999999999972","1.6499999999999972","58.440000000000005","1.5499999999999972",,"1.91",,"2.299999999999997","1","0.65"
Castex Technologies Ltd,CASTEXTECH,"Auto Parts","30.248","98.54","-111.7","-109.27","90.67","-111.7","-2.95","7.8700000000000045","293.54999999999995","0","13.25","144.41","0","56.49","-557.21","-545.6700000000001","94.42000000000002","-557.21","11.54","-14.736216488462937","42.6","-57.62000000000007","0","488.05"
Nam Securities Ltd,NAM,"Investment Banking & Brokerage","30.1952","19.24","-0.6100000000000014","-0.6100000000000014","19.84","-0.5100000000000015","-9.23","-0.6000000000000014","72.29","0.03",,,"0",,"0.06000000000000057","0.06000000000000057","72.15","0.030000000000000568",,"0.05",,"0.14000000000000057","0","0.08"
Bombay Cycle and Motor Agency Ltd,BOMBCYC,"Conglomerates","30.086","2.37","0.6000000000000001","0.6200000000000001","1.7","0.5200000000000001","13.18","0.6700000000000002","9.64","1.21","1.58","0","0.11111111111111115","0.72","3.0099999999999993","3.0299999999999994","2.4000000000000004","1.7999999999999994","0.02","44.999999999999986","1.79","3.1499999999999995","5","0.12"
Transgene Biotek Ltd,TRABI,"Biotechnology","30.08069","0.04","-1.48","-1.43","0.23","-1.48","-0.19","-0.19","0.23","0",,,"0",,"-6.01","-5.83","1.11","-6.01","0.18","-0.79",,"-0.8800000000000001","0","4.95"
Ind Bank Housing Ltd,INDBNK,"Consumer Finance","30.05","0.06","-0.41","-0.41","0.47","-0.41","-0.4","-0.41","0.24","0",,,"0",,"-0.56","-0.56","0.8","-0.56",,"-0.56",,"-0.56","0","0"
Picturehouse Media Ltd,PICTUREHS,"Movies & TV Serials","30.04375","1.89","-12.2","-12.799999999999999","14.62","-12.7","-2.43","-12.729999999999999","233.51","0.5",,,"0",,"205.54","208.01","25.23","205.04","2.47","39.24",,"208.28","0","0.27"
Jamshri Realty Ltd,JAMSHRI,"0","30.04195","1.53","-0.7899999999999999","-0.05999999999999994","1.45","-0.7899999999999999","-113.89","0.08000000000000007","5.58","0",,,"0",,"-4.27","-0.87","5.83","-4.27","3.4","-610.27",,"-0.25","0","0.62"
B2B Software Technologies Ltd,B2BSOFT,,"30.0230982","5.5","0.9300000000000004","0.9300000000000004","4.52","1.0100000000000005","0.88","0.9800000000000004","20.52","0.30000000000000004",,,"0",,"2.6799999999999993","2.6799999999999993","17.73","2.379999999999999","0","2.06",,"2.789999999999999","0","0.11"
Karuturi Global Ltd,KGL,"Agro Products","29.9814145724272","78.6","-1222.88","-1222.3300000000002","1293.22","-1222.4","-8.16","-1214.6200000000001","240.83","-0.58",,,"0",,"-1194.3","-1190.78","1400","-1193.72","3.52","-7.97",,"-1159.17","0","31.61"
Envair Electrodyne Ltd,ENVAIREL,,"29.928","0.91","0.37","0.37","0.54","0.37","0.81","0.37","4.859999999999999","0","0.4","4.29","0","0.05","-0.7700000000000002","-0.6600000000000003","0.5499999999999996","-0.7700000000000002","0.11","-1.6594827586206902","0.14","-0.5700000000000003","0","0.09"
JBF Industries Ltd,JBFIND,"Textiles","29.883224885","3.66","-105.81","-48.45","52.11","-172.63","-21.09","-48.45","1109.52","66.82000000000001",,,"0",,"-1786.6400000000003","-1551.4600000000003","2646.78","-1853.4600000000003","235.18","-226.39",,"-1537.2600000000002","0","14.2"
Country Condo's Ltd,COUNCODOS,"Real Estate","29.8749605","6.04","0.3200000000000001","0.3300000000000001","5.67","0.2200000000000001","0.03","0.3700000000000001","21.25","0.28",,,"0",,"1.0899999999999996","1.1199999999999997","19.98","0.8099999999999996","0.03","0.1",,"1.2699999999999996","0","0.15"
Riddhi Steel and Tube Ltd,RSTL,,"29.8449072",,,,,,,,"305.1","1.4",,,"0",,"4.8100000000000325","16.410000000000032","285.51","3.4100000000000326","11.6","4.1",,"19.590000000000032","0","3.18"
ARC Finance Ltd,ARCFIN,"Investment Banking & Brokerage","29.79205","4.53","-0.3399999999999998","-0.3399999999999998","4.83","-0.4199999999999998","0","-0.2999999999999998","6.92","0.12",,,"0",,"0.44999999999999957","0.44999999999999957","6.4","0.32999999999999957",,"0.01",,"0.5199999999999996","0","0.07"
Poona Dal and Oil Industries Ltd,POONADAL,"Agro Products","29.784344","31.83","0.5599999999999967","0.5599999999999967","31.26","0.4399999999999967","0.78","0.5699999999999967","185.25","0.4",,,"0",,"1.5800000000000114","1.6100000000000114","183.45","1.1800000000000113","0.03","2.04",,"1.8000000000000114","0","0.19"
Vera Synthetic Ltd,VERA,"Textiles","29.684025","9.72","-1.0399999999999991","-0.8299999999999992","10.34","-1.0399999999999991","-2.86","-0.6199999999999992","35.24","0.68",,,"0",,"2.6400000000000023","2.8000000000000025","31.93","1.9600000000000022","0.16","3.99",,"3.3100000000000023","0","0.51"
Vikas WSP Ltd,VIKASWSP,"Agro Products","29.643742","0","-142.17","-116.25999999999999","107.88","-116.65999999999998","-5.69","-107.88","23.1","-25.51","0.58","31.08","0","0.33","-189.03999999999996","-150.42999999999998","105.96999999999998","-163.52999999999997","38.61","-7.998931714861782","1.41","-116.26999999999998","0","34.16"
Aditya Birla Sun Life Nifty IT ETF,TECH,"Equity","29.57509189",,,,,,,,,,,,,,,,,,,,,,,
Getalong Enterprise Ltd,GETALONG,,"29.52866","51.4","3.1700000000000017","3.1700000000000017","48.23","2.370000000000002","21.9","3.1700000000000017","73.63","0.24",,,"0",,"0.7899999999999977","0.9299999999999977","72.69","0.5499999999999977","0.14","3.04",,"0.9399999999999977","0","0.01"
TTI Enterprise Ltd,TTIENT,"Diversified Financials","29.519938363999998","0.47","-0.10000000000000007","-0.10000000000000007","0.55","-0.2900000000000001","-0.1","-0.08000000000000007","3.11","0.19",,,"0",,"-0.06000000000000004","-0.06000000000000004","3.15","-0.25000000000000006",,"-0.1",,"-0.040000000000000036","0","0.02"
Jindal Hotels Ltd,JINDHOT,"Hotels, Resorts & Cruise Lines","29.505","11.07","0.78","2.06","7.66","0.7000000000000001","1.01","3.41","42.36","-0.43999999999999995",,,"0",,"1.6299999999999981","6.789999999999998","30.71","2.069999999999998","5.16","2.96",,"11.649999999999999","0","4.86"
Kratos Energy & Infrastructure Ltd,KRATOSENER,"Conglomerates","29.4","0","-0.03","-0.03","0.03","-0.03","-0.25","-0.03","0.12","0",,,"0",,"-0.17000000000000004","-0.17000000000000004","0.28","-0.17000000000000004","0","-1.6",,"-0.16000000000000003","0","0.01"
Ameya Precision Engineers Ltd,AMEYA,"Industrial Machinery","29.3625","6.33","0.5700000000000003","0.5900000000000003","5.55","0.42000000000000026","0.69","0.7800000000000002","28.91","0.5",,,"0",,"2.3500000000000005","2.5200000000000005","25.61","1.8500000000000005","0.17","2.7",,"3.3000000000000007","0","0.78"
Simplex Castings Ltd,SIMPLEXCAS,"Iron & Steel","29.3316608","45.04","0.5200000000000005","2.7800000000000002","41.47","-1.0899999999999996","-1.78","3.5700000000000003","117.9","-1.91",,,"0",,"-18.909999999999997","-10.529999999999998","123.23","-16.999999999999996","8.38","-27.71",,"-5.329999999999998","0","5.2"
Quadpro Ites Ltd,QUADPRO,"Business Support Services","29.319","44.16","3.9299999999999935","3.9299999999999935","35.52","2.8899999999999935","0.06","8.639999999999993","9.39","0.29",,,"0",,"1.0900000000000003","1.1300000000000003","7.2","0.8000000000000003","0.04","0.17",,"2.1900000000000004","0","1.06"
ICICI Prudential Midcap Select ETF,ICICIMCAP,"Equity","29.289530724000002",,,,,,,,,,,,,,,,,,,,,,,
MT Educare Ltd,MTEDUCARE,"Education Services","29.252361869999998","10.95","-49.20000000000001","-47.18000000000001","54.68","-47.38000000000001","-6.56","-43.730000000000004","62.69","-2.26",,,"0",,"-62.97","-54.33","106.1","-60.71","8.64","-8.4",,"-43.41","0","10.92"
G.S. Auto International Ltd,GSAUTO,"Auto Parts","29.217849539999996","38.02","-2.589999999999999","-1.1599999999999993","38.06","-1.249999999999999","-0.87","-0.03999999999999915","129.69","-2.01",,,"0",,"-4.809999999999997","0.11000000000000298","125.74","-2.799999999999997","4.92","-1.93",,"3.950000000000003","0","3.84"
Vilin Bio Med Ltd,VILINBIO,"Pharmaceuticals","29.1555",,,,,,,,"11.21","0.01","0.46","8.88","0","0.16","0.029999999999999694","0.5399999999999997","0.10000000000000016","0.01999999999999969","0.51","0.06060606060605967","0.85","0.7599999999999997","0","0.22"
Camex Ltd,CAMEXLTD,"Specialty Chemicals","29.094795","40.96","0.7800000000000036","1.3400000000000036","39.55","0.6100000000000035","0.58","1.4100000000000037","148.23","-0.06",,,"0",,"-0.07000000000001139","1.3799999999999886","146.53","-0.010000000000011389","1.45","-0.3",,"1.6999999999999886","0","0.32"
Tyroon Tea Co Ltd,TYROON,,"29.087955","1.79","-7.029999999999999","-6.9399999999999995","8.43","-7.659999999999999","-22.51","-6.64","43.75","0.63",,,"0",,"4.149999999999999","4.489999999999998","38.35","3.5199999999999987","0.34","10.33",,"5.399999999999999","0","0.91"
Caprolactam Chemicals Ltd,CAPRO,,"28.9524","2.21","0.15999999999999995","0.30999999999999994","1.51","0.15999999999999995","0.36","0.7","9.86","0.42",,,"0",,"2.9699999999999998","3.5399999999999996","5.17","2.55","0.57","5.54",,"4.6899999999999995","0","1.15"
Omfurn India Ltd,OMFURN,"Home Furnishing","28.951",,,,,,,,"71.08","0.97",,,"0",,"4.859999999999999","6.919999999999999","63.04","3.8899999999999997","2.06","5.73",,"8.04","0","1.12"
Ravi Kumar Distilleries Ltd,RKDL,"Alcoholic Beverages","28.92","6.26","-2.269999999999999","-2.2599999999999993","8.45","-2.269999999999999","-0.91","-2.1899999999999995","29.39","0",,,"0",,"-2.279999999999998","-2.209999999999998","31.31","-2.279999999999998","0.07","-0.91",,"-1.9199999999999982","0","0.29"
Aspira Pathlab & Diagnostics Ltd,ASPIRA,"Hospitals & Diagnostic Centres","28.789521","3.48","-0.27","-0.17000000000000004","3.27","-0.27","-0.25","0.20999999999999996","14.78","0",,,"0",,"-0.09000000000000014","0.32999999999999985","12.86","-0.09000000000000014","0.42","-0.09",,"1.92","0","1.59"
Balkrishna Paper Mills Ltd,BALKRISHNA,"Paper Products","28.782781919999998","5.09","-6.950000000000001","-4.300000000000001","7.86","-7.200000000000001","-6.71","-2.7700000000000005","109.45","-0.16","3.7","66.54","0","20.77","-52.029999999999994","-41.03999999999999","43.68999999999999","-51.87","10.99","-48.29679090310808","9.67","-34.919999999999995","0","6.12"
DRA Consultants Ltd,DRA,,"28.7414",,,,,,,,"15.63","0.64",,,"0",,"2.39","2.52","12.47","1.75","0.13","1.58",,"3.16","0","0.64"
Mohit Paper Mills Ltd,MOHITPPR,"Paper Products","28.546","58.85","2.2300000000000013","3.070000000000001","54.39","1.8400000000000014","1.32","4.460000000000001","226.28","2.14",,,"0",,"7.060000000000013","10.540000000000013","210.17","4.920000000000012","3.48","3.51",,"16.110000000000014","0","5.57"
Pulsar International Ltd,PULSRIN,"Asset Management","28.5","0","-0.16","-0.16","0.16","-0.16","-0.52","-0.16","0.37","0",,,"0",,"0.14","0.14","0.22999999999999998","0.14",,"-0.32",,"0.14","0","0"
LCC Infotech Ltd,LCCINFOTEC,"IT Services & Consulting","28.48350375","1.19","0.4999999999999999","0.5099999999999999","0.67","0.4999999999999999","0.04","0.5199999999999999","1.71","0",,,"0",,"-0.6400000000000001","-0.6100000000000001","2.27","-0.6400000000000001","0.03","-0.05",,"-0.56","0","0.05"
Destiny Logistics & Infra Ltd,DESTINY,"Logistics","28.4678",,,,,,,,"56.81","0.82",,,"0",,"2.890000000000004","3.230000000000004","53.58","2.0700000000000043","0.34","1.34",,"3.230000000000004","0","0"
Rapicut Carbides Ltd,RAPICUT,"Industrial Machinery","28.446113519999997","15.71","-0.09999999999999964","3.608224830031759e-16","15.56","-0.3299999999999996","-0.63","0.15000000000000036","39.58","0.23",,,"0",,"-1.1200000000000039","-0.830000000000004","39.81","-1.3500000000000039","0.29","-2.52",,"-0.23000000000000398","0","0.6"
TGB Banquets and Hotels Ltd,TGBHOTELS,"Hotels, Resorts & Cruise Lines","28.407808","12.73","0.580000000000001","0.8100000000000009","10.69","0.500000000000001","0.17","2.040000000000001","42.18","0.08",,,"0",,"1.44","3","34","1.3599999999999999","1.56","0.47",,"8.18","0","5.18"
Sri Havisha Hospitality and Infrastructure Ltd,HAVISHA,"Oil & Gas - Storage & Transportation","28.404123","3.97","0.3700000000000001","0.4700000000000001","3.6","-0.17999999999999994","-0.01","0.3700000000000001","18","0.55",,,"0",,"2.059999999999999","2.249999999999999","14.96","1.5099999999999991","0.19","0.05",,"3.039999999999999","0","0.79"
SBI-ETF 10 year Gilt,SETF10GILT,"Debt","28.388294608000002",,,,,,,,,,,,,,,,,,,,,,,
Dharani Sugars and Chemicals Ltd,DHARSUGAR,"Sugar","28.386","0.85","-7.3999999999999995","-7.3999999999999995","2.69","-7.3999999999999995","-2.23","-1.8399999999999999","0.96","0",,,"0",,"-31.360000000000003","-31.35","10.06","-31.360000000000003","0.01","-9.44",,"-9.100000000000001","0","22.25"
Veerkrupa Jewellers Ltd,VEERKRUPA,,"28.176294594999998","2.23","-0.2500000000000002","-0.2500000000000002","2.47","-0.22000000000000022","0","-0.2400000000000002","18.8","0.01",,,"0",,"0.05000000000000185","0.07000000000000185","18.72","0.04000000000000185","0.02","0.003001501350975758",,"0.08000000000000185","0","0.01"
Aanchal Ispat Ltd,AANCHALISP,"Iron & Steel","28.1525625","55.74","-23.599999999999998","-21.56","77.14","-16.58","-7.96","-21.4","194.74","-7.02",,,"0",,"-30.469999999999978","-22.81999999999998","216.92","-23.449999999999978","7.65","-11.25",,"-22.17999999999998","0","0.64"
Centenial Surgical Suture Ltd,CSURGSU,"Health Care Equipment & Supplies","28.0882617","13.05","0.2900000000000009","0.8100000000000009","11.93","0.13000000000000092","0.38","1.120000000000001","52.78","0.46",,,"0",,"1.460000000000002","3.120000000000002","48.36","1.000000000000002","1.66","2.43",,"4.420000000000002","0","1.3"
Gayatri Rubbers and Chemicals Ltd,GRCL,"Tires & Rubber","28.08751","5.56","0.5199999999999998","0.5599999999999998","4.93","0.3699999999999998","0.64","0.6299999999999999","22.21","0.32",,,"0",,"1.2500000000000022","1.4400000000000022","20.56","0.9300000000000022","0.19","1.78",,"1.6500000000000021","0","0.21"
Sumeet Industries Ltd,SUMEETINDS,"Textiles","27.983445030000002","247.07","3.850000000000006","3.8600000000000056","236.42","5.090000000000006","0.49","10.650000000000006","1043.35","-5.05",,,"0",,"-63.770000000000024","-56.71000000000002","1072.57","-58.72000000000003","7.06","-5.67",,"-29.220000000000027","0","27.49"
Winsome Breweries Ltd,WINSOMBR,,"27.8902512","1.87","0.48","0.48","0.83","0.6599999999999999","0.24","1.04","2.83","-0.18",,,"0",,"-0.9999999999999998","-0.9999999999999998","2.55","-0.8199999999999998","0","-0.29",,"0.28000000000000025","0","1.28"
Jet Knitwears Ltd,JETKNIT,"Apparel & Accessories","27.87554",,,,,,,,"36.56","0.44",,,"0",,"1.6500000000000015","2.8100000000000014","33.28","1.2100000000000015","1.16","2.75",,"3.280000000000001","0","0.47"
Kotak It ETF,KOTAKIT,"Equity","27.800666394",,,,,,,,,,,,,,,,,,,,,,,
TCM Ltd,TCMLMTD,"Commodity Chemicals","27.780313055","4.91","-1.13","-0.8699999999999998","5.67","-1.0099999999999998","-1.35","-0.7599999999999998","7.37","-0.30000000000000004",,,"0",,"-4.289999999999999","-4.02","11.02","-3.9899999999999993","0.27","-5.97",,"-3.6499999999999995","0","0.37"
Vanta Bioscience Ltd,VANTABIO,"Labs & Life Sciences Services","27.760176",,,,,,,,"10.11","0.14",,,"0",,"0.2199999999999993","2.5699999999999994","6.22","0.0799999999999993","2.35","0.14",,"3.8899999999999997","0","1.32"
E-Land Apparel Ltd,ELAND,"Apparel & Accessories","27.738491082","58.6","-10.469999999999995","2.2200000000000046","55.23","-10.469999999999995","-2.18","3.3700000000000045","232.41","0",,,"0",,"-39.860000000000014","11.099999999999989","216.71","-39.860000000000014","50.96","-8.31",,"15.699999999999989","0","4.6"
Anuroop Packaging Ltd,ANUROOP,,"27.7238","16.45","2.6399999999999992","2.8199999999999994","13.51","2.1499999999999995","2.789373449012177","2.9399999999999995","22.47","0.9400000000000001",,,"0",,"3.6499999999999995","4.6","17.45","2.7099999999999995","0.95","2.55",,"5.02","0","0.42"
Accedere Ltd,ACCEDERE,,"27.699321","0.57","-0.12000000000000004","-0.12000000000000004","0.61","-0.06000000000000004","-0.1","-0.040000000000000036","1.64","-0.07",,,"0",,"-0.10000000000000014","-0.10000000000000014","1.55","-0.030000000000000138","0","-0.05",,"0.08999999999999986","0","0.19"
The Victoria Mills Ltd,VICTMILL,"Real Estate","27.5968","24.78","3.4800000000000018","3.4800000000000018","21.27","2.790000000000002","282.19","3.5100000000000016","26.05","0.69",,,"0.21027840861300362",,"3.0300000000000002","3.0300000000000002","22.89","2.3400000000000003","0","237.78",,"3.16","50","0.13"
Mindpool Technologies Ltd,MINDPOOL,"Outsourced services","27.501375",,,,,,,,"46.02","0.26",,,"0",,"0.13000000000000145","0.44000000000000145","45.17","-0.12999999999999856","0.31","-0.31",,"0.8500000000000014","0","0.41"
Johnson Pharmacare Ltd,JOHNPHARMA,,"27.5","0","-0.08","-0.08","0.08","-0.08","0","-0.08","1.01","0",,,"0",,"-1.2899999999999998","-1.2899999999999998","2.3","-1.2899999999999998","0","-0.02",,"-1.2899999999999998","0","0"
Heads UP Ventures Limited,HEADSUP,"Textiles","27.492848205","0.13","-5.04","-5.04","5.16","-5.04","-2.28","-5.03","1.51","-0.09",,,"0",,"-9.75","-9.26","10.73","-9.66","0.49","-4.37",,"-9.22","0","0.04"
Prakash Woollen & Synthetic Mills Ltd,PWASML,"Textiles","27.42431175","15.11","0.20000000000000007","0.81","13.28","0.21000000000000008","0.21","1.83","103.72","-0.12000000000000001",,,"0",,"-5.159999999999995","-2.9199999999999946","102.57","-5.039999999999995","2.24","-4.91",,"1.1500000000000057","0","4.07"
Tamilnadu Telecommunication Ltd,TNTELE,"Telecom Equipments","27.4086","0.17","-3.9400000000000004","-1.4500000000000002","1.56","-3.9400000000000004","-0.83","-1.3900000000000001","0.18","0","0.44","0","0","0","-11.97","-2.76","1.2100000000000002","-11.97","9.21","-2.6206208047079227","1.03","-2.5","0","0.26"
