Name,Ticker,"Sub-Sector","Market Cap","Total revenue (Q)","PBT (Q)","PBIT (Q)","Operating and Other Expenses (Q)","Net Income (Q)","EPS (Q)","EBITDA (Q)","Total Revenue","Taxes & Other Items","Selling & Administrative Expenses","Raw Materials","Payout Ratio","Power & Fuel Cost","PBT","PBIT","Operating & Other expenses","Net Income","Interest & Other Items","Earnings Per Share","Employee Cost","EBITDA","Dividend Per Share","Depreciation & Amortization"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","133123.7627187","2712.07","392.52000000000004","404.36","2231.55","283.03000000000003","5.57","480.52","11855.35","449.99",,,"0.43912175648702595",,"1723.2400000000007","1770.8800000000008","9814.73","1273.2500000000007","47.64","25.05",,"2040.6200000000008","11","269.74"
Siemens Ltd,SIEMENS,"Conglomerates","132729.26","4974.4","649.3999999999993","659.2999999999993","4236.6","471.7999999999993","13.26","737.7999999999993","16624.399999999998","449.9","977.1","8119.7","0.230812272344287","51.8","1992.7999999999981","2029.099999999998","3323.8999999999996","1542.8999999999983","36.3","43.32525258918503","1805.7","2346.199999999998","10","317.1"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","131521.880924775","23018.23","821.5499999999993","821.5499999999993","22196.68","776.8499999999992","7.76","821.5499999999993","82393.73","185.26",,,"0.14543339150668994",,"1905.8300000000017","1905.8300000000017","80487.9","1720.5700000000018",,"17.19",,"1905.8300000000017","2.5","0"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","128872.9425","13216.9","2843.66","2898.96","9262.33","2831.1899999999996","84.67","3954.5699999999997","28600.45","681.77",,,"0.22951572182694516",,"6509.499999999999","6567.469999999999","20248.31","5827.73","57.97","174.28",,"8352.14","40","1784.67"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","122610.39305436001","4083.58","761.0999999999999","795.9599999999999","3222.29","558.6599999999999","23.19","861.29","16897.42","711",,,"0.7469654528478058",,"3032.769999999999","3201.869999999999","13469.64","2321.769999999999","169.1","96.39",,"3427.779999999999","72","225.91"
DLF Ltd,DLF,"Real Estate","121797.71249373001","1575.7","397.39","481.95","1057.71","570.01","2.3","517.99","6012.14","-533.41",,,"0.48661800486618",,"1502.4200000000005","1894.5600000000004","3968.95","2035.8300000000004","392.14","8.22",,"2043.1900000000005","4","148.63"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","115540.98603021001","12174.31","2727.449999999999","2727.449999999999","9446.86","2043.3599999999988","26.34","2727.449999999999","44540.69","2489.06",,,"0.14581814394333922",,"9932.190000000002","9932.190000000002","34608.5","7443.130000000003",,"96.01",,"9932.190000000002","14","0"
Grasim Industries Ltd,GRASIM,"Cement","115519.78308401999","33769.73","3415.0300000000047","5230.880000000005","27331.51","1368.9200000000046","20.85","6438.220000000005","121448.09","7899.45",,,"0.09617234083477591",,"14726.71","20770.44","96126.06","6827.259999999999","6043.73","103.98",,"25322.03","10","4551.59"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","114557.10051135","14023.7","1524.8999999999999","1618.3","11915.2","1117.6999999999998","12.67","2108.5","54255.2","1614.2","3020.6","0","0.909439331028916","175.3","6445.499999999997","6771.099999999998","14639.699999999999","4831.299999999997","325.6","54.97892854868208","27691.8","8727.799999999997","50","1956.7"
Varun Beverages Ltd,VBL,"Soft Drinks","108198.58140365999","3903.11","573.38","635.95","3094.96","429.08","3.3050165250826256","808.1500000000001","13211.99","526.2099999999999","1795.94","6605.66","0.15182094006942892","479.22","2023.64","2227.73","269.60999999999945","1497.4300000000003","204.09","11.526736688626162","1216.64","2844.92","1.75","617.19"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","107752.00103928","3258.07","555.5100000000001","608.0200000000001","2581.46","452.1400000000001","4.42","676.6100000000001","13484.38","430.27",,,"0",,"2132.7299999999987","2308.4699999999984","10939.62","1702.4599999999987","175.74","16.65",,"2544.7599999999984","0","236.29"
Interglobe Aviation Ltd,INDIGO,"Airlines","103573.37267535999","14600.12","919.8200000000008","1838.0500000000009","11408.91","919.1900000000009","23.84","3191.210000000001","55881.42","1.4",,,"0",,"-304.38000000000056","2827.3499999999995","47951.1","-305.78000000000054","3131.73","-7.93",,"7930.32","0","5102.97"
Vedanta Ltd,VEDL,"Metals - Diversified","103245.35816902","38635","4258","6063","29807","1881","5.07","8828","150912","9702","9519","44527","3.570834121429922","30950","20276","26501","25762","10574","6225","28.4247311827957","3098","37056","101.5","10555"
Dabur India Ltd,DABUR,"FMCG - Personal Products","102370.44294367","2798.52","396.2499999999999","428.3699999999999","2268.15","300.82999999999987","1.7","530.3699999999999","11975.279999999999","511.53000000000003","1428.38","4762.03","0.538491269753683","150.59","2218.6800000000003","2296.92","1889.3999999999987","1707.1500000000003","78.24","9.656609664960005","1137","2607.88","5.2","310.96"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","101875.8349263","32528.06","7095.890000000003","7095.890000000003","25432.17","5050.200000000003","10.16","7095.890000000003","110777.98","5659.34","5521.67",,"0.1913269411648283",,"20564.540000000008","20564.540000000008","68317.18","14905.200000000008",,"28.746604981583573","14342.73","22596.40000000001","5.5","2031.86"
