Name,Ticker,"Sub-Sector","Market Cap","Close Price","Percentage Buy Reco’s","No. of analysts with buy reco","Percentage Hold Reco's","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Central Bank of India Ltd,CENTRALBK,"Public Banks","26910.9122392","30.85",,"0","0","0",,"19.35483870967742"
Apollo Tyres Limited,APOLLOTYRE,"Tires & Rubber","26683.76624619","419.55","57.14285714285714","16","28.57142857142857","14.285714285714285","28","-0.03570153516600673"
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","26059.06980555","1230.55","100","4","0","0","4","-6.7451517961536975"
SKF India Ltd,SKFINDIA,"Industrial Machinery","26041.44701025","5237.3","62.5","5","25","12.5","8","-5.4390128144280965"
Motherson Sumi Wiring India Ltd,MSUMI,"Cables","25797.164777385","58.45","80","8","0","20","10","9.68294772922022"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","25792.52945325","4265.35","58.333333333333336","14","25","16.666666666666664","24","-11.442096755570951"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","25737.8695009","777.4","41.02564102564102","16","35.8974358974359","23.076923076923077","39","11.718197595937518"
Lloyds Metals And Energy Ltd,LLOYDSME,"Iron & Steel","25518.864321","564.05",,"0","0","0",,
Kansai Nerolac Paints Ltd,KANSAINER,"Paints","25496.2919532","318.4","52.63157894736842","10","15.789473684210526","31.57894736842105","19","4.206347495244134"
Tata Chemicals Ltd,TATACHEM,"Diversified Chemicals","25418.30763745","994.45","57.14285714285714","4","42.857142857142854","0","7","11.250313204710599"
J K Cement Ltd,JKCEMENT,"Cement","25354.80388314","3211","50","11","22.727272727272727","27.27272727272727","22","-0.6521606631315929"
Escorts Ltd,ESCORTS,"Tractors","25240.976076810002","2344.7","15.78947368421052","3","42.10526315789473","42.10526315789473","19","-18.451435683934935"
Timken India Ltd,TIMKEN,"Industrial Machinery","25045.95795365","3267.7","80","4","0","20","5","7.515579247691268"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","24999.390999","128.7","100","1","0","0","1","-28.27356130108424"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","24841.89785994","334.95","100","10","0","0","10","10.16562832396292"
Devyani International Ltd,DEVYANI,"Restaurants & Cafes","24097.922571220002","195.45","58.82352941176471","10","17.647058823529413","23.52941176470588","17","-1.2006003001500778"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","24047.2768","2203.85","57.14285714285714","4","28.57142857142857","14.285714285714285","7","0.4880519360928177"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","23940.4103352","12621.75","80","4","20","0","5","-9.418266088299958"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","23748.18487629","1393.7","50","3","33.33333333333333","16.666666666666664","6","-2.985340799657589"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","23580.97421787","32.75",,"0","0","0",,
Endurance Technologies Ltd (CN),ENDURANCE,"Auto Parts","23551.88395488","1684.3","88.23529411764706","15","0","11.76470588235294","17","0.27771971212709956"
Relaxo Footwears Ltd,RELAXO,"Footwear","23447.52541534","929.65","33.33333333333333","4","41.66666666666667","25","12","-2.3250875889160185"
Piramal Enterprises Ltd,PEL,"Diversified Financials","23170.15844244","976.05","100","7","0","0","7","16.797867978679786"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","23143.44301577","1215.9","80","8","0","20","10","3.7468707678417608"
KEI Industries Ltd,KEI,"Cables","23117.22378378","2570.75","66.66666666666666","10","33.33333333333333","0","15","-18.06796457414849"
CPSE ETF,CPSEETF,"Equity","23025.673136880003","44.77",,"0","0","0",,
Punjab & Sind Bank,PSB,"Public Banks","22603.917800745003","33.25",,"0","0","0",,
Kajaria Ceramics Ltd,KAJARIACER,"Building Products - Ceramics","22603.3332655","1463.5","88.88888888888889","24","11.11111111111111","0","27","-5.3792228837143705"
KPR Mill Ltd,KPRMILL,"Textiles","22375.14444","647.7","100","7","0","0","7","6.248090436908032"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","22159.632233120003","550.1","100","18","0","0","18","9.17149059334299"
Navin Fluorine International Ltd,NAVINFLUOR,"Specialty Chemicals","21900.2548356","4474.95","71.42857142857143","15","23.809523809523807","4.761904761904762","21","18.39335430860817"
Bata India Ltd,BATAINDIA,"Footwear","21853.5376262","1698","58.82352941176471","10","35.294117647058826","5.88235294117647","17","-2.3701699700052905"
Ramco Cements Ltd,RAMCOCEM,"Cement","21803.8793645","909.35","40","12","20","40","30","-7.884042264968843"
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","21739.11721546","1049.3","0","0","100","0","1","-9.83144628310877"
Zee Entertainment Enterprises Ltd,ZEEL,"TV Channels & Broadcasters","21438.7934544","223.2","90","18","5","5","20","7.526881720430113"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","21417.33046875","1172.8","71.42857142857143","5","0","28.57142857142857","7","5.900474947584618"
IIFL Finance Ltd,IIFL,"Investment Banking & Brokerage","21140.632392","562.15","100","2","0","0","2","37.263726372637265"
Exide Industries Ltd,EXIDEIND,"Batteries","21139.5","251","62.5","10","31.25","6.25","16","-9.52955367913148"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","21111.41794","388","53.333333333333336","16","23.333333333333332","23.333333333333332","30","10.734757686294943"
Narayana Hrudayalaya Ltd,NH,"Hospitals & Diagnostic Centres","21081.694920525","1029.45","85.71428571428571","6","0","14.285714285714285","7","-3.674806145547376"
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","21023.46121668","4681.1","28.57142857142857","2","57.14285714285714","14.285714285714285","7","4.2134291028025475"
CreditAccess Grameen Ltd,CREDITACC,"Consumer Finance","20788.913132129997","1315.95","93.33333333333333","14","6.666666666666667","0","15","5.971919354221657"
Sumitomo Chemical India Ltd,SUMICHEM,"Commodity Chemicals","20507.40256356","409.15","87.5","7","0","12.5","8","17.439454788852373"
Sun Tv Network Ltd,SUNTV,"TV Channels & Broadcasters","20413.583316","513.7","68.75","11","25","6.25","16","6.756756756756757"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","20318.92891356","740.65","31.25","5","43.75","25","16","-20.149979169559785"
Aditya Birla Fashion and Retail Ltd,ABFRL,"Retail - Apparel","20182.243846020003","214","59.09090909090909","13","22.727272727272727","18.181818181818183","22","2.8999064546304902"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","20166.94828882","785.25","25","4","56.25","18.75","16","1.8996100138382215"
Mindspace Business Parks REIT,MINDSPACE,"Real Estate","20155.501969816","302.95","72.72727272727269","8","18.181818181818183","9.090909090909092","11","13.897928994082829"
ICICI Securities Ltd,ISEC,"Investment Banking & Brokerage","19966.074552","631.75","50","5","20","30","10","-14.239482200647249"
CIE Automotive India Ltd,CIEINDIA,"Auto Parts","19645.280692945","524.1","100","6","0","0","6","0.4151781403881389"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","19618.338531645","1237.05","35.29411764705882","6","5.88235294117647","58.82352941176471","17","9.138227763086086"
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","19534.98942414","2502.55","85.71428571428571","12","14.285714285714285","0","14","-5.383716091703486"
Atul Ltd,ATUL,"Diversified Chemicals","19504.902835625","6582.35","30","3","40","30","10","8.908643843389445"
Dr. Lal PathLabs Ltd,LALPATHLAB,"Hospitals & Diagnostic Centres","19479.612377204998","2348.15","25","5","15","60","20","-21.44699537421927"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","19300.460443155","18.7","100","1","0","0","1","23.249299719887947"
New India Assurance Company Ltd,NIACL,"Insurance","19149.76","116.15","33.33333333333333","1","0","66.66666666666666","3","-3.184165232358006"
SJVN Ltd,SJVN,"Renewable Energy","19138.10250225","50.3","100","5","0","0","5","2.669404517453793"
Vinati Organics Ltd,VINATIORGA,"Specialty Chemicals","18909.841559","1823.85","41.66666666666667","5","33.33333333333333","25","12","5.989781497988914"
Laurus Labs Ltd,LAURUSLABS,"Pharmaceuticals","18895.874449","350.8","45.454545454545446","5","27.27272727272727","27.27272727272727","11","-10.205245153933868"
Global Health Ltd,MEDANTA,"Hospitals & Diagnostic Centres","18860.53829151","711.1","75","3","25","0","4","-2.2117914799800804"
Five-Star Business Finance Ltd,FIVESTAR,"Consumer Finance","18854.3821494","661.65","100","5","0","0","5","11.291444470206345"
Crompton Greaves Consumer Electricals Ltd,CROMPTON,"Home Electronics & Appliances","18771.388970465","295.55","73.17073170731707","30","24.390243902439025","2.4390243902439024","41","11.262566024876474"
Gillette India Ltd,GILLETTE,"FMCG - Personal Products","18644.93531523","5634.05","100","1","0","0","1","-3.004246841084249"
Nippon Life India Asset Management Ltd,NAM-INDIA,"Asset Management","18515.13499563","311.3","80","12","20","0","15","0.9930988049149936"
360 One Wam Ltd,360ONE,"Investment Banking & Brokerage","18421.42446","519.45","100","5","0","0","5","2.7131782945736433"
Radico Khaitan Ltd,RADICO,"Alcoholic Beverages","18401.5304899","1336.35","44.44444444444444","4","44.44444444444444","11.11111111111111","9","-12.828708412029634"
Ratnamani Metals and Tubes Ltd,RATNAMANI,"Building Products - Pipes","18341.67456","2582.1","100","5","0","0","5","5.090186487312741"
Whirlpool of India Ltd,WHIRLPOOL,"Home Electronics & Appliances","18206.74196415","1435.05","36.36363636363636","4","27.27272727272727","36.36363636363637","11","-2.965053482457054"
Emami Ltd,EMAMILTD,"FMCG - Personal Products","18049.275","416.3","76.92307692307693","20","19.230769230769234","3.8461538461538463","26","15.477629987908102"
Elgi Equipments Ltd,ELGIEQUIP,"Industrial Machinery","18010.34844756","565.5","33.33333333333333","1","0","66.66666666666666","3","-14.338429098576702"
IDFC Ltd,IDFC,"Diversified Financials","17975.82513846","112.1",,"0","0","0",,
Hitachi Energy India Ltd,POWERINDIA,"Heavy Electrical Equipments","17828.063497125","4168.25","80","4","0","20","5","3.41015796793096"
Kalyan Jewellers India Ltd,KALYANKJIL,"Precious Metals, Jewellery & Watches","17794.166559675","170.85","100","6","0","0","6","9.696092619392186"
Pfizer Ltd,PFIZER,"Pharmaceuticals","17685.615713879997","3897.9","100","5","0","0","5","18.665769937142706"
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","17662.818505125","1414.35","92.30769230769232","12","7.6923076923076925","0","13","8.358581358046694"
Indiamart Intermesh Ltd,INDIAMART,"Online Services","17573.8783087","2900.5","75","12","6.25","18.75","16","7.0123542717939795"
Nexus Select Trust,NXST,"Real Estate","17527.035","116.7","100","3","0","0","3","3.725473247471694"
Cholamandalam Financial Holdings Ltd,CHOLAHLDNG,"Diversified Financials","17369.415235","932.2","100","3","0","0","3","2.1621621621621623"
Blue Dart Express Ltd,BLUEDART,"Logistics","17341.5605639","7309.35","71.42857142857143","5","0","28.57142857142857","7","5.794622699596361"
Aarti Industries Ltd,AARTIIND,"Specialty Chemicals","16919.875833625","466.15","27.77777777777778","5","38.88888888888889","33.33333333333333","18","16.443492233529728"
National Aluminium Co Ltd,NATIONALUM,"Metals - Aluminium","16906.195599335002","92.25","77.77777777777779","7","11.11111111111111","11.11111111111111","9","2.118413905486152"
Gujarat State Petronet Ltd,GSPL,"Gas Distribution","16647.05664888","289.3","95.23809523809524","20","4.761904761904762","0","21","17.946110828673103"
PNB Housing Finance Ltd,PNBHOUSING,"Home Financing","16623.7737288","652.45","66.66666666666666","6","22.22222222222222","11.11111111111111","9","-17.252146760343482"
Capri Global Capital Ltd,CGCL,"Consumer Finance","16584.9962998","800.15","0","0","0","100","1","-13.610938471100063"
Trident Ltd,TRIDENT,"Textiles","16555.3738637","32.8","100","1","0","0","1","45.89665653495442"
JBM Auto Ltd,JBMA,"Auto Parts","16526.21916832","1402","0","0","0","100","1","-50.987406983400106"
NLC India Ltd,NLCINDIA,"Metals - Diversified","16306.84652184","119.15",,"0","0","0",,
Cyient Ltd,CYIENT,"Software Services","16277.039152989999","1470.2","50","7","50","0","14","-14.37319157526411"
Godrej Industries Ltd,GODREJIND,"Diversified Chemicals","16193.03706272","476.7","100","1","0","0","1","51.990851439858616"
Sanofi India Ltd,SANOFI,"Pharmaceuticals","16173.83006505","6935.6","75","6","25","0","8","1.4559823430992134"
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","15825.139950064999","82.15",,"0","0","0",,
IRB Infrastructure Developers Ltd,IRB,"Construction & Engineering","15791.985","26.1","71.42857142857143","5","28.57142857142857","0","7","22.370936902485663"
