Name,Ticker,"Sub-Sector","Market Cap","Percentage Hold Reco's","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Indraprastha Gas Ltd,IGL,"Gas Distribution","33810.03864","10","24","80","10","30","15.942028985507246"
UNO Minda Ltd,UNOMINDA,"Auto Parts","33696.1507344","6.666666666666667","13","86.66666666666667","6.666666666666667","15","7.653061224489796"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","33675.0019756","32.25806451612903","17","54.83870967741935","12.903225806451612","31","11.135857461024498"
UCO Bank,UCOBANK,"Public Banks","33357.12331104","0","0",,"0",,
ACC Ltd,ACC,"Cement","33247.73491415","21.62162162162162","23","62.16216216216216","16.216216216216218","37","20.07907370799209"
Oracle Financial Services Software Ltd,OFSS,"Software Services","33246.51880887","0","1","100","0","1","9.264028720830405"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","33168.2247597","33.33333333333333","4","66.66666666666666","0","6","22.45593932449391"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","32933.9947608","6.666666666666667","11","73.33333333333333","20","15","-17.168674698795186"
NMDC Ltd,NMDC,"Mining - Iron Ore","32661.60219825","5.263157894736842","16","84.21052631578947","10.526315789473683","19","17.990130103185283"
3M India Ltd,3MINDIA,"Stationery","32491.78507565","0","1","100","0","1","1.0645582369348463"
General Insurance Corporation of India,GICRE,"Insurance","32324.82","0","4","100","0","4","17.774762550881952"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","0","15","100","0","15","23.648361067596728"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","31965.3415989","9.523809523809524","4","19.04761904761904","71.42857142857143","21","-36.27450980392157"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","31875.904738125","25.925925925925924","14","51.85185185185185","22.22222222222222","27","14.674441205053448"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","31752.941167679997","13.333333333333334","9","60","26.666666666666668","15","2.3230088495575263"
Bank of India Ltd,BANKINDIA,"Public Banks","31700.04789075","50","1","50","0","2","33.980582524271846"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","31696.83194035","18.181818181818183","9","81.81818181818183","0","11","-2.2779009388344225"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","31664.467047690003","0","0",,"0",,
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","31032.152509815","28.125","16","50","21.875","32","6.123315292369739"
Syngene International Ltd,SYNGENE,"Labs & Life Sciences Services","30709.203423959996","0","7","100","0","7","-2.2673964034401846"
Biocon Ltd,BIOCON,"Biotechnology","30703.39452838","26.31578947368421","12","63.1578947368421","10.526315789473683","19","10.830254715146811"
Vedant Fashions Ltd,MANYAVAR,"Textiles","30223.9710168","0","8","88.88888888888889","11.11111111111111","9","13.34243714354566"
