Name,Ticker,"Sub-Sector","Market Cap","Earnings Quality Rank","Fundamental Score","Price Momentum Rank","Price to Intrinsic Value Rank","Value Momentum Rank"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","37371.71384057","79","5.11641791044776","92","24","61"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","37368.98799191","94","10","87",,"50"
Steel Authority of India Ltd,SAIL,"Iron & Steel","37112.769721665005","95","5.67761194029851","71","95","76"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","37060.45307272","17","3.71428571428571","14",,"29"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","36243.27245112","88","5.20641025641026","2","65","14"
Persistent Systems Ltd,PERSISTENT,"Software Services","35792.87935545","88","4.83461538461539","65","42","32"
Vodafone Idea Ltd,IDEA,"Telecom Services","35292.774673625","25","5","10",,"43"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","34762.28109042",,"5.6","38","96","63"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","34732.02645","57","4.34375","91","40","72"
PB Fintech Ltd,POLICYBZR,"Online Services","34051.267632635","1","10","75",,"55"
Indraprastha Gas Ltd,IGL,"Gas Distribution","33810.03864","90","6.20833333333333","77","51","57"
UNO Minda Ltd,UNOMINDA,"Auto Parts","33696.1507344","20","5.34915254237288","53","20","18"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","33675.0019756","88","7.325","89","84","86"
UCO Bank,UCOBANK,"Public Banks","33357.12331104","21","5.15483870967742","79",,"90"
ACC Ltd,ACC,"Cement","33247.73491415","7","5.83378378378378","6","56","9"
Oracle Financial Services Software Ltd,OFSS,"Software Services","33246.51880887","97","6.58636363636364","59","49","59"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","33168.2247597","60","4.90267857142857","63","36","54"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","32933.9947608","34","5","92","85","84"
NMDC Ltd,NMDC,"Mining - Iron Ore","32661.60219825","77","7.23059701492537","84",,"86"
3M India Ltd,3MINDIA,"Stationery","32491.78507565","85","6.31111111111111","45","7","39"
General Insurance Corporation of India,GICRE,"Insurance","32324.82","53",,"79","94","100"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","46",,"40",,"50"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","31965.3415989","38","3.71818181818182","90",,"54"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","31875.904738125","61","5.88333333333333","46","61","56"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","31752.941167679997","72","7.99067796610169","59","17","20"
Bank of India Ltd,BANKINDIA,"Public Banks","31700.04789075","9","5.11612903225806","70","100","97"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","31696.83194035","23","6.33529411764706","86","34","77"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","31664.467047690003","73","4.74411764705882","91","11","69"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","31032.152509815","60","6.54285714285714","10","6","1"
Syngene International Ltd,SYNGENE,"Labs & Life Sciences Services","30709.203423959996","88","5.03125","37","11","23"
Biocon Ltd,BIOCON,"Biotechnology","30703.39452838","15","6.75","2","43","9"
Vedant Fashions Ltd,MANYAVAR,"Textiles","30223.9710168","93","5.91617647058823","32","11","39"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","29975.31875","45","5.48725490196078","17","61","29"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","29973.20205369","15","5.77777777777778","42","48","64"
Jindal Stainless Ltd,JSL,"Iron & Steel","29701.285589159997","84","5.4455223880597","97","90","90"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","29418.55334864","67","5.29375","64","77","87"
Delhivery Ltd,DELHIVERY,"Logistics","29262.2152382","2",,"9",,"35"
Coforge Ltd,COFORGE,"IT Services & Consulting","29054.55993805","96","5.46923076923077","51","46","34"
Metro Brands Ltd,METROBRAND,"Footwear","28848.667819065002","71","6.25833333333333","36","5","11"
Max Financial Services Ltd,MFSL,"Insurance","28421.926965705","62","4.96428571428571","31","8","41"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","28359.68383144","10","2.91304347826087","50","22","64"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","28320.13608445","100","5.64285714285714","68","14","53"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","28267.559583125","36","3.57826086956522","76","48","61"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","28220.533953175","84","4.34166666666667","88","12","68"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","27728.24081058","39","6.75","95","100","100"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","27497.473133235","66","5.34558823529412","30","76","47"
Apollo Tyres Limited,APOLLOTYRE,"Tires & Rubber","26963.21066243","62","4.55","98","71","89"
Federal Bank Ltd,FEDERALBNK,"Private Banks","26858.354798925","8","5.31935483870968","63","93","90"
GMR Infrastructure Ltd,GMRINFRA,"Construction & Engineering","26678.8781155","25","10","52",,"74"
Thermax Limited,THERMAX,"Industrial Machinery","26297.2590329","74","2.92352941176471","64","20","23"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","26262.48004455","87","7.61696428571429","35","62","23"
Timken India Ltd,TIMKEN,"Industrial Machinery","26099.77241699","33","6.36960784313726","60","12","37"
Central Bank of India Ltd,CENTRALBK,"Public Banks","26086.22299316","20","5.97903225806452","63",,"87"
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","25783.80164085","61","6.04152542372881","100",,"38"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","25596.874311225","67","8","29","10","12"
Motherson Sumi Wiring India Ltd,MSUMI,"Cables","25554.003841179998","81",,"52",,"27"
J K Cement Ltd,JKCEMENT,"Cement","25548.360851895002","19","5.10945945945946","46","46","34"
Lloyds Metals And Energy Ltd,LLOYDSME,"Iron & Steel","25518.864321","23",,"96","46","78"
SKF India Ltd,SKFINDIA,"Industrial Machinery","25439.29262091","33","5.49509803921569","57","21","25"
Escorts Ltd,ESCORTS,"Tractors","25102.848927585","14","6.85","71","24","56"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","24940.042419179998","43","2.96538461538462","34","23","33"
Tata Chemicals Ltd,TATACHEM,"Diversified Chemicals","24889.6883606","64","2.65178571428571","43","77","79"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","24778.3037549","72","4.88571428571429","12","27","3"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","24738.7634865","99","6.71428571428572","89","75","93"
Kansai Nerolac Paints Ltd,KANSAINER,"Paints","24655.57719","84","4.00267857142857","41","22","13"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","24117.584","79","6.58725490196078","69","17","51"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","23733.7853634","66","3.555","11","36","10"
Endurance Technologies Ltd (CN),ENDURANCE,"Auto Parts","23553.9938976","64","5.92457627118644","59","45","46"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","23422.69012992","76","4.93305084745763","95",,"31"
Devyani International Ltd,DEVYANI,"Restaurants & Cafes","23398.733221979997","56","6.4","13",,"6"
Piramal Enterprises Ltd,PEL,"Diversified Financials","23127.40907262","81","4.65909090909091","45","96","96"
CPSE ETF,CPSEETF,"Equity","23025.673136880003",,,,,
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","22750.903172770002","23","5.80535714285714","41","43","41"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","22564.07336667","37","5.00982142857143","93","31","47"
Punjab & Sind Bank,PSB,"Public Banks","22468.362071805","25","3.99838709677419","68",,"84"
Relaxo Footwears Ltd,RELAXO,"Footwear","22425.632519810002","22","8.16","24",,"13"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","22250.34375","97","4.75","88","31","20"
KPR Mill Ltd,KPRMILL,"Textiles","22014.53067","27","6.625","72","55","64"
KEI Industries Ltd,KEI,"Cables","21949.68267387","76","5.97285714285714","94","28","52"
Ramco Cements Ltd,RAMCOCEM,"Cement","21946.8362544","13","3.76621621621622","53","32","66"
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","21665.61028702","28","4.08582089552239","10","6","7"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","21562.782730755","27","6.25645161290323","79","99","99"
Navin Fluorine International Ltd,NAVINFLUOR,"Specialty Chemicals","21477.6566046","6","6.0343137254902","49","28","52"
Exide Industries Ltd,EXIDEIND,"Batteries","21394.5","9","5.54830508474576","93","56","62"
Bata India Ltd,BATAINDIA,"Footwear","21325.2894368","52","3.82","30","12","3"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","21284.687785","8","4.02272727272727","49","95","94"
Sumitomo Chemical India Ltd,SUMICHEM,"Commodity Chemicals","20844.32593536","57","5.91911764705882","25","27","3"
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","20821.89593406","71","5.25147058823529","15","19","6"
Narayana Hrudayalaya Ltd,NH,"Hospitals & Diagnostic Centres","20700.9389799","85","4.48461538461538","73","26","60"
CIE Automotive India Ltd,CIEINDIA,"Auto Parts","20654.384615765","92","5.02796610169491","100","55","84"
Kajaria Ceramics Ltd,KAJARIACER,"Building Products - Ceramics","20626.228376","80","5.75238095238095","33","30","19"
Aditya Birla Fashion and Retail Ltd,ABFRL,"Retail - Apparel","20446.55761014","64","1.10882352941176","23",,"9"
IIFL Finance Ltd,IIFL,"Investment Banking & Brokerage","20419.4533032","10","5.31818181818182","89","77","92"
Mindspace Business Parks REIT,MINDSPACE,"Real Estate","20155.501969816","61",,"60",,"69"
CreditAccess Grameen Ltd,CREDITACC,"Consumer Finance","20131.977432710002","6","6.73913043478261","59","60","73"
ICICI Securities Ltd,ISEC,"Investment Banking & Brokerage","19668.5454336","8","5.565","48","71","37"
Dr. Lal PathLabs Ltd,LALPATHLAB,"Hospitals & Diagnostic Centres","19557.926548965","60","5","15","9","1"
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","19525.699398060002","36","6.40642857142857","42","39","36"
IPCA Laboratories Ltd,IPCALAB,"Pharmaceuticals","19516.19696965","55","6.62285714285714","3","58","17"
New India Assurance Company Ltd,NIACL,"Insurance","19339.28","12",,"69","95","82"
Atul Ltd,ATUL,"Diversified Chemicals","19326.7873242","16","6.53333333333333","17","44","5"
Glenmark Pharmaceuticals Ltd,GLENMARK,"Pharmaceuticals","19279.1392587","55","4.13714285714286","76","71","78"
Zee Entertainment Enterprises Ltd,ZEEL,"TV Channels & Broadcasters","19104.7312638","43","6.23461538461539","1","60","17"
Suzlon Energy Ltd,SUZLON,"Renewable Energy Equipment & Services","18998.267830664998","87","4.09090909090909","78",,"70"
