Name,Ticker,"Sub-Sector","Market Cap","Close Price","Interest Coverage Ratio","Quick Ratio","Asset Turnover Ratio","Cash Conversion Cycle","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Debt to Equity","Earning Power","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
Vasa Retail and Overseas Ltd,VASA,"Textiles","4.554338","7.95",,"0.9273008507347256","0",,,,,,,"0",,,"1.3364269141531324","0"
Shantai Industries Ltd,SHANTAI,,"4.554","28.85","-7.999999999999996","53.800000000000004","0.08031088082901554",,,,"1239.233870967742","0",,"0","0",,"153","0.08174027686222807"
First Fintec Ltd,FIRSTFIN,,"4.53560118","4.18",,"0.9682539682539684","0.35152246005426596",,,,"3.130360205831904","4.243394715772618",,"0","0",,"1.142857142857143","30.68421052631577"
Starlite Components Ltd,STARLITE,"Electrical Components & Equipments","4.5315","2.65",,"1.0231884057971012","0.1903083700440529","-3353.9590015439",,,"330.3587962962963",,,"0",,,"1.1246376811594203","3.630252100840338"
Rajkot Investment Trust Ltd,RAJKOTINV,"Investment Banking & Brokerage","4.515","47.4",,"0.06076134699853587","0.008987081070960495",,,,"0","180","0.22839741149600293",,"180","0.1378043178686264","0.06588579795021962","-0.040100250626566414"
Epsom Properties Ltd,EPSOMPRO,"Real Estate","4.5014912","6.04",,"6","0",,,,,,,,,,"6","0"
Amerise Biosciences Ltd,AMERISE,,"4.492692","0.65",,"0.9936204146730463","0.001135073779795687",,,,"113515","1.4184397163120566",,,"1.4184397163120566",,"0.9936204146730463","-0.03571428571428571"
V B Desai Financial Services Ltd,VBDESAI,"Investment Banking & Brokerage","4.4826111","9.41",,"1.7317073170731707","0.24988723500225532",,,,"27.012635379061376","0","3.8938053097345113",,"0","52.542372881356044","1.7560975609756098","6.441860465116278"
Mathew Easow Research Securities Ltd,MATHEWE,,"4.47545","7",,"3.428571428571432","0.05250850340136055","41.7574313201",,,"0","244.60328806290207","0.10324179227751544","0","244.60328806290207","0.08710801393728433","60.714285714285715","0.2021276595744681"
Ind Renewable Energy Ltd,INDRENEW,"Renewable Energy Equipment & Services","4.465356","14.9",,"22.266666666666666","0",,,,,"4.0625",,,"0",,"22.266666666666666","0"
Infra Industries Ltd,INFRAIND,"Plastic Products","4.4454433","7.43","0.16393442622950863","0.21084953940634593","0.44000000000000006",,"442.112676056338","466.53169014084506","158.16666666666669",,"1.3020833333333368","0.8255813953488372",,,"0.4094165813715455","-0.5929919137466307"
Kuberan Global Edu Solutions Ltd,KGES,,"4.4237256","21",,,"0.4337899543378995",,,,"74.92105263157896","0",,,"0",,,"1.759259259259259"
Konndor Industries Ltd,KONNDOR,,"4.359378","8.2",,"42.736842105263165","1.2969628796400448",,,,"35.77189939288812","0","4.287369640787935","0","0","74.99999999999935","42.736842105263165","1.5271523178807944"
Aarcon Facilities Ltd,RBGUPTA,"Real Estate","4.34484","7.29",,"2.6666666666666665","0.10570824524312895",,,,"0","0","0.43010752688172077",,"0","18.181818181817974","2.6666666666666665","2.941176470588235"
SW Investments Ltd,SW1,"Consumer Finance","4.32","48",,"9.499999999999998","0.028085735402808575",,,,"19.210526315789473","0","0.4424778761061947",,"0","28.57142857142848","9.499999999999998","0.07480314960629923"
CDG Petchem Ltd,CDG,,"4.314655","14","0.6888888888888894","0.9864864864864864","1.83485254691689",,,,"110.00487044613287","859.4059405940594","3.4078417002565065","0","283.66336633663366",,"1.064968814968815","21.889125799573556"
Woodsvilla Ltd,WOODSVILA,"Hotels, Resorts & Cruise Lines","4.312038","7.17",,"2.333333333333333","0.21109902067464636",,,,"5.644329896907217","0.7042253521126761","1.0917030567685593","0","0",,"21.88888888888889","0.5449438202247191"
Starlit Power Systems Ltd,STARLIT,"Batteries","4.307762648","4.25","-0.4660633484162896","0.6634199134199132","0.028242830106274566",,,,"2195.6443298969075",,,"0",,,"0.7673160173160172","-0.5861027190332324"
Dhanvantri Jeevan Rekha Ltd,ZDHJERK,"Hospitals & Diagnostic Centres","4.3074184","11.03","-12.999999999999966","1.6","1.2691218130311617",,,,"27.39536830357143","0",,"0","0",,"1.6533333333333333","37.33333333333332"
Kiran Print Pack Ltd,KIRANPR,"Stationery","4.302494","8.6",,"14.210526315789476","0.4012738853503185",,,,"21.726190476190474","0",,,"0",,"14.210526315789476","0.5080645161290323"
HB Leasing and Finance Co Ltd,HBLEAS,"Diversified Financials","4.281276897","4.05",,"4.295081967213115","0.18213058419243985",,,,"354.6698113207547","2.631578947368424","7.094594594594596",,"2.631578947368424","30.882352941176368","4.295081967213115","0.2610837438423645"
VB Industries Ltd,VBIND,"Diversified Financials","4.26008375","3.1",,"13.02328589909444","0.02088952091403913","87455.1416723531",,,"4165.798122065728","0","0.136173523976267",,"0","1.4248704663212435","13.27425614489004","0.02243876744798525"
Ganga Pharmaceuticals Ltd,GANGAPHARM,"Pharmaceuticals","4.22396","10.4","1.2631578947368411","2.2248520710059174","0.3680511182108626",,,,"108.359375","35.674676524953796","2.999999999999998","0","16.45101663585952","1.1583011583011515","2.905325443786982","0.9305331179321484"
Gujarat Cotex Ltd,GUJCOTEX,"Textiles","4.20198","3","3.0000000000000284","1.2925890279114534","1.1426611796982167","83.4416787552",,,"240.1200480192077","12.732919254658384","0.17730496453900876","0","1.5527950310559004","0.09541984732824693","1.3676612127045236","4.773638968481376"
Shricon Industries Ltd,SHRICON,"Real Estate","4.19864","33.86","5.033333333333333","5","0.32045240339302544","4314.9473669676",,,"4.294117647058823","29.479768786127167","33.630289532293986",,"29.479768786127167","117.47572815533988","5",
Polytex India Ltd,POLYTEX,"Diversified Financials","4.185","3.1",,"2.8000000000000007","0",,,,,"4.609929078014184",,,"4.609929078014184",,"2.8000000000000007","0"
Jmg Corporation Ltd,JMGCORP,"IT Services & Consulting","4.1684211","1.8","-3.0000000000000027","4.4523809523809526","0.4077976817702845",,,,"129.21188630490957","10.591471801925723",,,"10.591471801925723",,"4.4523809523809526","1.460377358490566"
Sunraj Diamond Exports Ltd,SUNRAJDI,"Precious Metals, Jewellery & Watches","4.157712","8.13","34.999999999999986","0.6903114186851214","0.12154696132596685",,,,"2341.937799043062","2266.6666666666665","1.935840707964601","0",,"1.9619157530294276","1.0346020761245678","8.893617021276482"
Mega Nirman & Industries Ltd,MNIL,"Cement","4.1452713469999996","12.26",,"2.481818181818182","0.14955752212389378","515.3134205767",,,"0","0","0.17182130584192462","0","0","0.29850746268656747","3.809090909090909","0.5105740181268882"
Crimson Metal Engineering Company Ltd,CRIMSON,"Iron & Steel","4.144801752","9.36","1.0530973451327437","1.2760487144790258","0.2176055400186443",,,,"436.0342717258262","417.90123456790127","6.552863436123349","0","326.6975308641976","1.1058981233243983","1.4411366711772668","2.3276353276353268"
Shangar Decor Ltd,SHANGAR,"Home Furnishing","4.1250148","3.25","5.666666666666668","1.0856353591160224","0.49615187275525907",,,,"224.77507755946226","100.93457943925233","1.6748768472906406","0","100.93457943925233","1.4409221902017295","1.5234806629834257","3.3173241852487116"
Garware Marine Industries Ltd,GARWAMAR,"Shipbuilding","4.111289192","6.78",,"22.904761904761905","0.1372767857142857","1287.8210024032",,,"1293.821138211382","0","1.0452961672473857",,"0","41.379310344827296","22.904761904761905","0.2530864197530864"
J J Finance Corporation Ltd,JJFINCOR,"Diversified Financials","4.09182","14.51",,"32.250000000000064","0.03988326848249026",,,,"178.0487804878049","0","1.8322082931533263",,"0","10.769230769230772","32.250000000000064","0.2019704433497537"
Pankaj Piyush Trade and Investment Ltd,PANKAJPIYUS,"Investment Banking & Brokerage","4.07","106.8",,"10.066666666666666","0.13380909901873325",,,,"7.786666666666666","0",,,"0",,"32.800000000000004","0.9517766497461928"
Chamak Holdings Ltd,CHAMAK,"Plastic Products","4.05625","12.5","1.9710144927536286","1.0525986224170318","1.7748434061283227",,,,"155.83174360930943","229.25531914893622","3.810591202017382",,"0","1.7851550266207445","1.0525986224170318","33.49520766773168"
Superior Finlease Ltd,SUPERIOR,,"4.05135","1.4",,"5.666666666666667","0.03590318961372015",,,,"0","1298.8372093023256","0.947672023073754",,"1298.8372093023256","0.7538802660753885","5.666666666666667","1.337313432835821"
Ceenik Exports (India) Ltd,CEENIK,"Textiles","4.04345","12.06","0.6546762589928059","1.0302419354838708","0.10259085376456269",,,,"11.135593220338983","156.7595459236326","3.184044786564031",,"125.9029927760578",,"1.0302419354838708","4.91666666666667"
Rajasthan Gases Ltd,RAJGASES,,"4.03035","7.5","-2.5517241379310347","0.09501187648456058","0",,,,,"341.4634146341464",,,"0",,"0.09501187648456058","0"
Jagsonpal Finance and Leasing Ltd,JAGSONFI,"Investment Banking & Brokerage","3.960288","7.2",,"0.533333333333333","0.05076142131979696",,,,"438","0",,,"0",,"2.8333333333333326","0.08771929824561406"
