Name,Ticker,"Sub-Sector","Market Cap","Close Price","% Away From 52W Low","% Away From 52W High","1Y Return","1Y Return vs Nifty","5Y CAGR","6M Return","6M Return vs Nifty","1M Return","1M Return vs Nifty","Face value"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","240105.61185072002","8224.15","36.95503746877602","3.3419867098727574","35.06569223189357","14.132749919603324","16.262020136120505","14.587963188730903","3.76292498352945","-0.23412527521852003","-6.41188226767735","10"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","223690.46455948","621.65","65.68496801705757","2.1153382128207054","37.09339508214798","16.16045276985773","19.659687822853968","54.19818925958081","43.373151054379356","6.583797685383622","0.40604069292479217","2"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","221186.81199702","23007.95","28.679809843400463","1.6837658287678803","23.585037411841817","2.6520950995515697","17.328257887675093","19.832760852185288","9.007722646983835","0.22826723820601752","-5.949489754252813","10"
Wipro Ltd,WIPRO,"IT Services & Consulting","217743.32209097","417.95","18.735795454545446","6.448139729632718","1.4195583596214427","-19.513383952668804","14.456037122144005","3.6710901649510137","-7.153948040250439","9.267973856209148","3.0902168637503173","2"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","209776.15576005","167.2","37.613168724279824","1.5251196172248793","26.141078838174256","5.208136525884008","1.1447461075493992","10.290237467018468","-0.5348007381829856","6.327503974562791","0.1497469821039603","5"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","190441.81296729","799.05","39.32868352223191","2.08372442275202","35.351909883967124","14.418967571676877","21.310174378172775","7.768561602265818","-3.0564766029356356","3.349932095971025","-2.8278248964878054","1"
NTPC Ltd,NTPC,"Power Generation","186709.30641017","192.9","30.91279267051239","2.5142560912389866","28.13018930587844","7.197246993588191","8.260930036541536","14.344991108476597","3.5199529032751435","2.880000000000003","-3.2977569924588273","10"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","184846.02855138","1545.35","37.56008545486913","3.199922347688222","32.574100287393286","11.641157975103038","11.178537919558718","17.539456170374592","6.714417965173139","10.662751978230503","4.484994985771673","5"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","169677.8909168","244.25","31.07056613898578","7.922210849539413","16.726403823178018","-4.20653848911223","13.122993134227867","9.40649496080627","-1.4185432443951829","-1.8090452261306533","-7.986802218589483","10"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","157992.5624373","732.45","85.38344722854974","34.86927435319815","-1.4928384103288157","-22.425780722619063","14.63137847618019","-5.423203563819484","-16.248241769020936","-0.7251287611818799","-6.90288575364071","2"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","155179.74170727","985","124.32247779549077","161.11675126903555","-52.74192774552608","-73.67487005781632","94.48521605985609","-50.141729094958485","-60.96676730015994","2.422792970780904","-3.7549640216779263","10"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","346.3","82.74406332453827","0.49090384060064274","55.326306346714524","34.39336403442428","19.712397353465015","63.50330500472143","52.67826679951998","9.623298512187413","3.4455415197285824","2"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","147659.0806827","4985.05","20.966998301383157","8.92568780654155","12.158437672257673","-8.774504640032575","23.276176173831576","16.799240871123814","5.974202665922361","-0.7387274374520765","-6.9164844299109065","1"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142625.33679","116.95","26.500811249323952","6.284737067122692","25.955842757135176","5.022900444844929","18.38221134844833","-4.8800325335502235","-15.705070738751676","2.3632385120350134","-3.814518480423817","1"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","141639.04678791002","661.05","44.39711664482304","4.507979729218681","25.866336633663348","4.9333943213731","6.1887674942213255","11.938023876047753","1.1129856708462995","2.695354979027483","-3.482402013431347","10"
Coal India Ltd,COALINDIA,"Mining - Coal","140879.96955521998","229.75","18.062692702980463","14.646354733405875","16.123325751832198","-4.80961656045805","-2.7040013367289784","1.2114537444933922","-9.613584460708061","1.1001100110011002","-5.07764698145773","10"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","138741.167112975","98.75","51.45705521472392","2.7341772151898702","36.48928818244645","15.556345870156203","-1.6561941786260692","19.11942098914354","8.294382783942085","7.4537540805223","1.2759970880634697","10"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","136583.436675","323.15","24.14521705724162","18.520810768992746","15.886677425138947","-5.046264887151301","4.02788132040528","-8.45609065155808","-19.281128856759533","4.884777669587781","-1.2929793228710489","2"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","136568.547274575","2676.6","18.957356503188795","9.054397369797496","15.328435702436607","-5.60450660985364","21.023351068317766","11.404311995338384","0.5792737901369307","-0.07093522493933511","-6.248692217398165","1"
