Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Dividend Yield","Dividend Yield vs Sector","Dividend Yield vs Sub-sector","Enterprise Value","EV / Revenue Ratio","EV / Invested Capital","EV / Free Cash Flow","EV / EBIT Ratio","EV/EBITDA Ratio","Sector Dividend Yield","Sector PB","Sector PE","Price / Free Cash Flow","PB Premium vs Sub-sector","PB Premium vs Sector","PB Ratio","PE Premium vs Sub-sector","PE Premium vs Sector","Forward PE Ratio","Price / Sales","Price / CFO","PS Ratio","PS Premium vs Sub-sector","Forward PS Ratio","PS Premium vs Sector","TTM PE Ratio"
Mathew Easow Research Securities Ltd,MATHEWE,,"4.47545","7","149.1816666666631",,,,"38.61545","15.633785425101214","0.8009842356357603",,"772.3089999999888","551.64928571428","0.12865195946162278","0.16749416915925164","-4.876571427072698",,"90.99381435638287","90.99381435638287","0.31990350250178695","3187.8182638400576","3159.1506532328935",,"1.811923076923077",,"1.811923076923077","293.79067609714497",,"293.1390716518915","111.88625000000107"
Ind Renewable Energy Ltd,INDRENEW,"Renewable Energy Equipment & Services","4.465356","14.9",,,,,"4.585356",,"1.376983783783784",,,,"0.5493648022104091","5.613936989607899","43.5011349669085",,"108.46629436552031","-75.14358011885234","1.39542375",,,,,,,,,,
Infra Industries Ltd,INFRAIND,"Plastic Products","4.4454433","7.43","-8.548929423076926",,,,"10.765443299999998","3.2622555454545448",,,"107.6544329999997","27.603700769230745","3.2824046705150622","2.903924990739655","20.86185049719418",,"-121.5713092416377","-161.9773107474858","-1.7997746153846144","-117.91798643332055","-140.9787685144552",,"1.3471040303030304",,"1.3471040303030304","-65.30996092203844",,"-12.425195028441898","-6.350633285714282"
Kuberan Global Edu Solutions Ltd,KGES,,"4.4237256","21","-442.3725599999996",,,,"4.2637256","4.488132210526316","1.561804249084249",,,"16.398944615384615","0.12865195946162278","0.16749416915925164","-4.876571427072698",,"867.4440106339686","867.4440106339686","1.6204123076923078","-9056.393682354043","-8971.384816474358",,"4.656553263157895",,"4.656553263157895","912.0226852539627",,"910.3480938518895",
Konndor Industries Ltd,KONNDOR,,"4.359378","8.2","16.145844444444517",,,,"3.8793780000000004","0.33645949696444066","0.4690904474002419","8.253995744680852","10.48480540540544","9.94712307692311","0.12865195946162278","0.16749416915925164","-4.876571427072698","9.275272340425534","214.71636445666735","214.71636445666735","0.5271315598548973","434.19276292223685","431.0900842097687",,"0.3780900260190807","8.896689795918368","0.3780900260190807","-17.82856078831109",,"-17.96452966292711","17.437511999999963"
Aarcon Facilities Ltd,RBGUPTA,"Real Estate","4.34484","7.29","217.2419999999998",,,,"4.29484","8.58968","0.9460000000000002",,"214.7419999999998","28.63226666666666","1.1853664126862586","2.9444479811062116","53.76915078309117",,"-67.49770340654865","-67.49770340654865","0.9570132158590309","304.02721046566364","304.02721046566364",,"8.68968",,"8.68968","0.9256480261587159",,"0.9256480261587159","43.44839999999996"
SW Investments Ltd,SW1,"Consumer Finance","4.32","48","216.00000000000006",,,,"4.260000000000001","22.421052631578952","0.6348733233979138",,"142.00000000000003","142.00000000000003","1.027726730314729","2.485912822204302","16.437916381714356",,"-85.47656122312873","-74.10145700035578","0.6438152011922506","710.684911418673","1214.0351549681798",,"22.736842105263158",,"22.736842105263158","272.4758785788679",,"1079.3047569025916","143.99999999999997"
CDG Petchem Ltd,CDG,,"4.314655","14","-10.78663750000002",,,,"21.264655","0.41427342684589913","1.09724742002064","10.32264805825243","22.86522043010751","17.574095041322302","0.12865195946162278","0.16749416915925164","-4.876571427072698","2.0944927184466025","1175.2490624024792","1175.2490624024792","2.1359678217821787","-123.26588127175762","-121.1930587157422",,"0.08405717903759985","1.6920215686274511","0.08405717903759985","-81.73160120006548",,"-81.76182987379559","-14.38218333333352"
Woodsvilla Ltd,WOODSVILA,"Hotels, Resorts & Cruise Lines","4.312038","7.17","-47.91153333333334",,,,"4.222038","4.352616494845361","0.984158041958042","105.55095000000001","84.44075999999998","28.146919999999998","0.5697770421302515","6.186206651823186","61.535634799751044","107.80095","-83.8407310813235","-83.63754155126018","1.0122154929577465","-187.88869339405912","-177.85981811879702",,"4.4454","107.80095","4.4454","-39.753319045130695",,"181.87308690897183","-143.73459999999974"
Starlit Power Systems Ltd,STARLIT,"Batteries","4.307762648","4.25","-0.31674725352941174",,,,"45.037762648000005","46.430683142268045",,"38.16759546440679",,,"0.5493648022104091","5.613936989607899","43.5011349669085","3.650646311864407","-112.95489487681166","-105.12238738219406","-0.28756760000000003","-101.39240215060374","-100.72813560788785",,"4.4409924206185565","3.6199686117647056","4.4409924206185565","227.0630670771003",,"54.20498408332542","-0.31651452226304183"
Dhanvantri Jeevan Rekha Ltd,ZDHJERK,"Hospitals & Diagnostic Centres","4.3074184","11.03","-19.579174545454574",,,,"2.5074184000000006","0.13992290178571432","0.2633842857142858","2.786020444444445",,"3.0578273170731705","0.7958595982422415","4.912280247058051","38.89425892014974","4.7860204444444445","-94.3172719081248","-90.7892080009612","0.4524599159663866","-134.75335079741626","-150.33949762521712",,"0.24036933035714286","4.102303238095239","0.24036933035714286","-95.10863007069115",,"-94.43950193151046","-19.57917454545475"
Kiran Print Pack Ltd,KIRANPR,"Stationery","4.302494","8.6","-21.512470000000008",,,,"2.0224940000000005","1.6051539682539686","0.6855911864406781",,,,"0.5493648022104091","5.613936989607899","43.5011349669085",,"-89.87174249716959","-74.02050388038383","1.4584725423728813","-130.85629786460095","-149.45266374397963",,"3.414677777777778",,"3.414677777777778","-56.26306621231936",,"18.568167314855756","-22.644705263157874"
HB Leasing and Finance Co Ltd,HBLEAS,"Diversified Financials","4.281276897","4.05","20.38703284285714",,,,"4.271276896999999","8.059013013207545","1.8253320072649586","30.509120692857138","20.339413795238087","20.339413795238087","1.027726730314729","2.485912822204302","16.437916381714356","30.580549264285715","21.35134272297035","-24.46424475436891","1.8777530250000019","223.31000899336786","24.024434541690486",,"8.077880937735848","28.541845979999998","8.077880937735848","449.1313209562249",,"318.98005762900095","19.460349531818178"
VB Industries Ltd,VBIND,"Diversified Financials","4.26008375","3.1","38.72803409090904",,,,"3.61008375","1.694875","0.03796491481754127","6.01680625","25.786312499999976","25.786312499999976","1.027726730314729","2.485912822204302","16.437916381714356","7.100139583333333","-97.1047277657986","-98.19782319713293","0.04480054422126406","514.172800266725","135.60184388083613",,"2.000039319248826","7.100139583333333","2.000039319248826","35.96192390170769",,"3.737180047372389","35.50069791666663"
Ganga Pharmaceuticals Ltd,GANGAPHARM,"Pharmaceuticals","4.22396","10.4","140.7986666666675",,,,"6.13396","2.1298472222222222","0.8356893732970028",,"25.558166666666686","20.446533333333345","0.7958595982422415","4.912280247058051","38.89425892014974",,"-82.02133799885458","-84.10577354858441","0.7807689463955637","307.2368091226288","262.0037264515784",,"1.4666527777777778",,"1.4666527777777778","-63.1049766298818",,"-66.07171170356511",
Gujarat Cotex Ltd,GUJCOTEX,"Textiles","4.20198","3","420.19799999998816",,,,"4.64198","0.27863025210084036","0.6393911845730027",,"154.7326666666652","66.31399999999974","0.5697770421302515","6.186206651823186","61.535634799751044",,"-95.10366219010774","-89.45264193094279","0.6524813664596274","748.2565696195173","582.853116519224",,"0.25221968787515003",,"0.25221968787515003","-87.8599090372407",,"-84.00730148004997","420.19800000005375"
Shricon Industries Ltd,SHRICON,"Real Estate","4.19864","33.86","3.4699504132231414",,,,"5.198640000000001","3.0580235294117655","1.1604107142857145",,"3.442807947019869","3.3978039215686286","1.1853664126862586","2.9444479811062116","53.76915078309117",,"-58.787529052212015","-58.787529052212015","1.2134797687861272","-93.54657761432539","-93.54657761432539",,"2.469788235294118",,"2.469788235294118","-71.31482653740507",,"-71.31482653740507","3.469950413223141"
Polytex India Ltd,POLYTEX,"Diversified Financials","4.185","3.1","-59.785714285714285",,,,"4.055",,"1.3745762711864404",,,,"1.027726730314729","2.485912822204302","16.437916381714356",,"-4.092522237948636","-40.3019068112146","1.4840425531914891","-1048.1183442622196","-463.70615896440677",,,,,,,,"-83.69999999999996"
Jmg Corporation Ltd,JMGCORP,"IT Services & Consulting","4.1684211","1.8","-13.02631593749999",,,,"4.528421099999999","1.1701346511627904","0.5632364552238805",,,,"2.5262844519982592","7.377084724764392","27.498384744157313",,"-92.41211405979996","-92.22764903094091","0.5733729160935351","-148.52400671205885","-147.37120401323844",,"1.0771113953488372",,"1.0771113953488372","-73.07714614934348",,"-71.02730036218658","-13.02631593749999"
Sunraj Diamond Exports Ltd,SUNRAJDI,"Precious Metals, Jewellery & Watches","4.157712","8.13","12.228564705882357",,,,"20.847712","9.974981818181819","1.174518985915493",,"59.56489142857146","56.345167567567586","0.5697770421302515","6.186206651823186","61.535634799751044",,"-49.21687752752989","-10.38747471576629","5.543616","-79.08375034249258","-80.12766952729667",,"1.9893358851674643",,"1.9893358851674643","160.02127969228638",,"26.139435562816622","12.22856470588235"
Mega Nirman & Industries Ltd,MNIL,"Cement","4.1452713469999996","12.26","207.26356734999973",,,,"4.115271346999999","2.4350718029585794","0.8330508799595141",,"205.7635673499997","137.17571156666654","3.2824046705150622","2.903924990739655","20.86185049719418",,"-65.24946101767559","-71.10380753189808","0.8391237544534413","437.89499857029125","893.5051896660639",,"2.4528232822485205",,"2.4528232822485205","18.677193848034005",,"59.4572622014135","414.52713469999924"
