Name,Ticker,"Sub-Sector","Market Cap","% Away From 52W High","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Cost of Goods Sold","Return on Investment","5Y Avg EBITDA Margin","Cash Flow Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Oriental Carbon & Chemicals Ltd,OCCL,"Commodity Chemicals","815.7409622600001","24.16463681219163","10.901451188803179","21.321606661992814","14.8817554711522","13.219967967312176","8.893192849432873","20.925788497217063","262.9","7.7795029095820505","26.918674647903675","19.499072356215212","9.022263450834872","11.19540260751641","8.073044200041496","5.553303376175491"
Dynamic Cables Ltd,DYCL,"Cables","811.87632","4.0588395532552335","13.377613404891852","4.413120561133581","4.217437882392152","17.91327881697375","6.121866510448142","9.808708596948266",,"19.568512079878758","10.33542696861396","11.29809814759222","4.616300707108297","33.41401567542645","23.33924997167567","9.553844726834246"
M K Proteins Ltd,MKPL,"FMCG - Household Products","811.366578","25.426556457116845","11.328568299699267","-1.4887397089824321","2.537245159426247","21.429360934188416","7.899097377252636","5.429950463609813",,"14.506415291961199","4.531440929559591","-3.952661797445612","3.3818112536517275","38.592347661785595","29.561937917029198","13.276872964169334"
Kirloskar Electric Company Ltd,KECL,"Heavy Electrical Equipments","810.583736555","12.935522627152585",,"6.602934318648248","1.513779347912844",,"-1.2904678275993273","11.8112141992739",,"44.9782259912904","12.500344144825373","7.705702131411317","6.26865671641791","35.91015755950384","123.03057964399817","10.840417916690127"
Rhetan TMT Ltd,RHETAN,,"809.625","1320.2308214528173",,"0",,,,"10.466988727858286",,"7.2097191794463",,"-21.599045346062056","6.222682309638825","21.996351316132376","14.628073451602788","4.756603582633312"
Centrum Capital Ltd,CENTRUM,"Diversified Financials","809.54437971","45.67307692307692","0.6519700212737973","-50.70860197594352","-6.356909556103928","2.0213235766553197","0.6991267924092331","-10.303917978762378",,"-2.1812720364010185","-1.0911398880884888","-77.26962651355808","-10.969608202123784","-2.2055364953636234","-12.09887191281967","-2.258050092302189"
Gloster Ltd,GLOSTERLTD,"Textiles","809.1993607","37.283883653129024","4.442248282299881","8.995187945371175","7.23893705028056","4.460873235465472","3.9212740851320644","14.820399956526469",,"6.164079412363318","16.707464226855148","16.05997085815077","7.387783936528643","6.282167467469181","6.323823545079887","5.46609122989146"
Onmobile Global Ltd,ONMOBILE,"Software Services","808.782385125","80.2477183833116","4.666279504311502","2.4644530468146497","4.623704098863381","4.541944942909228","3.073159906971517","3.3682285543674926",,"5.180828811349916","9.835782357377193","-4.5476735889443844","1.2539886917091112","1.160262138814411","5.074673547579943","3.573631117571907"
Kalyani Investment Company Ltd,KICL,"Asset Management","807.84352836","20.728120611536525","1.3660797061645666","1.7293811305351126","76.5084217576718","1.414967359876657","1.3997510590931292","94.97816593886463",,"1.0686172638314733","94.3529490226775","-12.50168214237653","71.48135707087671","1.033021932272557","1.1460582950428673","1.1204053680702106"
Nelcast Ltd,NELCAST,"Iron & Steel","803.891088","40.8435664709023","6.496886675438672","6.470810917586597","3.1928424111797113","6.127967684569434","3.141639867596978","7.460296380779779","758.41","7.8614850475612785","8.61697904715526","6.283834982931154","2.3224566638804496","11.608723186593705","6.494811578372481","2.9857191636370968"
Allsec Technologies Ltd,ALLSEC,"IT Services & Consulting","803.59312161","5.0089766606822295","16.60994260635733","18.642730505562476","11.337276694657154","18.024616643428654","14.979813020877137","24.206986548885773",,"14.95919499247285","23.08102242424413","19.691024254596016","12.261594057418197","27.977850697292876","15.02022926500336","11.615363306011366"
