Name,Ticker,"Sub-Sector","Market Cap","ROCE","Interest Coverage Ratio","Quick Ratio","Cash Conversion Cycle","Asset Turnover Ratio","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Earning Power","Debt to Equity","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","372068.04128881","8.30254069532529",,,,"0.1325477181442557",,,,"3.5934929364165384",,,,"3.287829467186395",,"-0.27828216516240795"
Larsen & Toubro Ltd,LT,"Construction & Engineering","344386.40807629505","16.50788345068802","2.8529100242592245","1.2684775279077116","86.6631245808","0.5926068515406276",,,"86.51706416311161","8.257629496342094","131.07358788183376","0","65.94453275039552","4.68655901809419","1.3057552573790467","3.506952634863395"
Asian Paints Ltd,ASIANPAINT,"Paints","325866.612721005","32.618405895970554","40.382692973347176","1.3075749151778195","91.0954478021","1.4349826500027905","117.9869215460091","76.45671079313652","44.404555531025835","22.627740907153125","11.75138590857655","3.0935632120689576","4.89538723656792","43.99717574656288","2.0941371060787013","4.31167585356125"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","300190.42424448","28.285290679440024","56.20679886685552","2.5501997336884155","43.6304228084","1.175232042430616",,,"67.79981325500418","22.31306440548352","10.229655194658582","0","9.002354610844112","55.17741036596693","2.5587749667110518","3.743182728364947"
Axis Bank Ltd,AXISBANK,"Private Banks","295715.001674535","4.6668153837860356",,,,"0.08355963119743706",,,,"1.3846418550752722",,,,"0.8906550388301803",,"-0.13733376695139043"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","291356.01","18.23656996113268","56.20374331550796","0.7789878697095189","-14.7668387032","1.641965163704294",,,"5.045300084911593","14.078132220666914","0.7689735874289535","0","0.05945765223598727","42.49560086947513","0.9864833906071017","145.05674531155537"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","273859.835706","34.50857807502181","15.823333333333334","0.4390078407720145","185.0426805406","1.696150016594756","168.7767244547905","14.455556236216616","5.530708834751981","17.568467801628422","78.68783602150538","2.1626204749445237","13.499663978494624","21.500396930404868","1.6893094089264173","5.083493938451974"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","269273.964785805","7.483646354310109","1.818618733595635","0.671911398889138","1.8032428113","1.137973532932968","24.224732931932266","82.83844415636436","34.687629353814195","5.11038906987108","140.40746845148","15.06724557193647","121.86465839976458","2.3918924003391866","0.8263216455129727","-13.360612712834117"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","258084.46604805","18.22501981263694","55.70017441860463","1.5126359331533004","251.3512019439","0.648083928529707",,,"80.56809998607375","13.731837843733821","2.5267246712154106","0","0.9433066274286409","45.30865847855029","2.035689556438602","2.7729043863014655"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","256925.98287309","6.096742821023884",,"0.1622149252801253",,"0.2221754325403204",,,"14.372287482393766","4.146788927461109","273.54410057568435",,"255.34323787392677","1.957663178688351","0.1622149252801253","-0.7864738668622664"
