Name,Ticker,"Sub-Sector","Market Cap","Close Price","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","49869.24313823","23665.1","36","22","60","6.45285714285714","70"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","49742.09267409","1838.2","34","22","18","6.79444444444444","99"
Indian Overseas Bank,IOB,"Public Banks","49618.832172","26.7","83",,"79","4.73709677419355","5"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","48993.3853615","3082.55","44",,"53","5.3656862745098","76"
JSW Energy Ltd,JSWENERGY,"Power Generation","48477.8458329","294.6","65","49","15","5.43571428571429","4"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","48094.0917093","186.05","87","53","99","7.93333333333333","18"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","47975.087374515","639.4","64",,"42","4.38529411764706","85"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","47891.9190519","1338.45","6","28","9","6.15298507462687","48"
Tata Elxsi Ltd,TATAELXSI,"Software Services","47074.1382316","7494.3","14","4","3","7.5","85"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","46979.9435138","2409.45","63","51","82","7.1","22"
NHPC Ltd,NHPC,"Renewable Energy","46960.537713375","48.35","91","93","76","5.96666666666667","27"
Tata Communications Ltd,TATACOMM,"Telecom Services","46124.4","1604.3","22","50","42","5.69166666666667","96"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","45371.34897552","168.15","87","88","2","7.21666666666667","66"
Godrej Properties Ltd,GODREJPROP,"Real Estate","44693.1775035","1622.2","47","9","43","4.11785714285714","17"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","44269.49932935","3467.35","61","13","90","5.97857142857143","73"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","44009.84892199","772.6","69","65","44","5.24","70"
L&T Technology Services Ltd,LTTS,"Software Services","43776.04706984","4090.55","17","37","20","5.3125","90"
MRF Ltd,MRF,"Tires & Rubber","43564.236284545004","101896.2","78","26","87","5.705","32"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","43515.083925","3690.1","33","64","35","5.765","83"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42930.04221","33.25","96",,"86","5.52272727272727","12"
REC Ltd,RECLTD,"Specialized Finance","42750.39164","161.75","97","100","99","5.75454545454545","30"
Lupin Ltd,LUPIN,"Pharmaceuticals","42449.094044175","946.1","46","36","37","2.02571428571429","42"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","42258.55519755","300.4","98","94","82","5.21428571428571","62"
Container Corporation of India Ltd,CONCOR,"Logistics","41791.49932932","685.7","12","45","3","10","69"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","41708.60275972","145.05","2",,"11","5.91666666666667","2"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","40911.79511208","2213.9","12","62","7","5.20641025641026","88"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","40667.526528329996","36568.9","1","14","17","5.50147058823529","15"
Indian Bank,INDIANB,"Public Banks","40501.74584028","328.6","98","98","85","7.04193548387097","59"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","39833.43541076","851.6","45","35","70","3.72457627118644","56"
United Breweries Ltd,UBL,"Alcoholic Beverages","39769.17846109","1503.85","1","8","8","8.5","92"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","39456.647094935","321.35","85","74","90","3.90434782608696","4"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","38898.16731426","1075.6","40","67","36","7.30714285714286","23"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","38744.50136987","1409.1","58","24","83","5.11641791044776","78"
Persistent Systems Ltd,PERSISTENT,"Software Services","38639.70696915","5043.75","30","40","58","4.83461538461539","88"
Dalmia Bharat Ltd,DALBHARAT,"Cement","38202.873160970004","2020.95","63","48","70","5.02567567567568","32"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","37773.152429135","42582.35","16","2","42","7.15","81"
Steel Authority of India Ltd,SAIL,"Iron & Steel","37505.169624120004","89.9","79","95","77","5.67761194029851","96"
Vodafone Idea Ltd,IDEA,"Telecom Services","37483.36068785","7.55","40",,"8","5","25"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","37262.38271316","4593.95","49",,"85","10","94"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","37138.983306040005","645.05","30",,"14","3.71428571428571","17"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","34952.877","1819.65","67","40","79","4.34375","56"
Indraprastha Gas Ltd,IGL,"Gas Distribution","34793.539764","491.3","70","52","76","6.20833333333333","91"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","34560.991666705","211.65","59","95","37","5.6",
Oracle Financial Services Software Ltd,OFSS,"Software Services","34228.28542539","3928.3","55","48","54","6.58636363636364","98"
UCO Bank,UCOBANK,"Public Banks","34014.701010720004","28.85","93",,"87","5.15483870967742","21"
ACC Ltd,ACC,"Cement","33802.646276315005","1800.45","8","57","6","5.83378378378378","7"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","33727.50197868","224.55","90","85","94","7.325","88"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","33477.248297525","3746.4","47","34","54","4.90267857142857","59"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","33265.37969345","3512.8","73","32","79","6.33529411764706","23"
PB Fintech Ltd,POLICYBZR,"Online Services","33261.194306165","776.45","53",,"72","10","1"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","33148.97797185","131.15","88","87","96","5","34"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","33062.191555725","95.75","64",,"86","3.71818181818182","38"
Bank of India Ltd,BANKINDIA,"Public Banks","32931.11771175","83.2","98","100","76","5.11612903225806","9"
General Insurance Corporation of India,GICRE,"Insurance","32859.912","187.3","99","96","68",,"53"
NMDC Ltd,NMDC,"Mining - Iron Ore","32749.52037375","111","86",,"82","7.23059701492537","77"
UNO Minda Ltd,UNOMINDA,"Auto Parts","32707.6157001","571.2","22","23","57","5.34915254237288","19"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","32429.09616489","563.4","23","18","61","7.99067796610169","72"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","306.13","50",,"40",,"46"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","32120.2832325","466.9","39","64","43","5.88333333333333","60"
Biocon Ltd,BIOCON,"Biotechnology","31873.687546","266.25","10","43","1","6.75","15"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","31742.115684570002","491.55","66","11","87","4.74411764705882","73"
3M India Ltd,3MINDIA,"Stationery","31443.6266375","28159.3","42","7","49","6.31111111111111","85"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","31351.6905436","473.05","3","6","4","6.54285714285714","60"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","30932.11225","2782.05","32","59","22","5.48725490196078","45"
Vedant Fashions Ltd,MANYAVAR,"Textiles","30811.5042312","1278.05","19","11","24","5.91617647058823","93"
Syngene International Ltd,SYNGENE,"Labs & Life Sciences Services","30805.244716920002","781.65","29","12","49","5.03125","88"
Jindal Stainless Ltd,JSL,"Iron & Steel","30244.75241724","367.55","92","90","100","5.4455223880597","84"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","30067.386007040004","614.55","87","78","63","5.29375","61"
Coforge Ltd,COFORGE,"IT Services & Consulting","29790.470303845002","4819.45","34","43","46","5.46923076923077","97"
Delhivery Ltd,DELHIVERY,"Logistics","29639.67399456","419.15","36",,"15",,"2"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","29342.758773975","1060.7","51","14","67","5.64285714285714","100"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","29229.186399875","1637.35","64","46","46","5.77777777777778","15"
Federal Bank Ltd,FEDERALBNK,"Private Banks","28765.456914825","136.85","86","94","62","5.31935483870968","8"
Metro Brands Ltd,METROBRAND,"Footwear","28744.134223679997","1055.35","23","4","42","6.25833333333333","71"
Max Financial Services Ltd,MFSL,"Insurance","28380.513193184997","817.1","35","7","31","4.96428571428571","61"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","28374.99471125","2570.8","64","51","78","3.57826086956522","36"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","28340.480361890004","372.55","67","23","58","2.91304347826087","10"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","28273.15443988","3902.9","66","13","84","4.34166666666667","84"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","27993.6853569","964.65","53","74","33","5.34558823529412","65"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","27804.149174159997","256.85","100","100","98","6.75","39"
Thermax Limited,THERMAX,"Industrial Machinery","27177.3441638","2433.45","26","20","58","2.92352941176471","74"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","27174.267523635","1991.1","24","63","35","7.61696428571429","64"
GMR Infrastructure Ltd,GMRINFRA,"Construction & Engineering","27010.855105625","44.35","78",,"66","10","25"
Central Bank of India Ltd,CENTRALBK,"Public Banks","26910.9122392","30.85","92",,"72","5.97903225806452","20"
Apollo Tyres Limited,APOLLOTYRE,"Tires & Rubber","26683.76624619","419.55","89","73","98","4.55","61"
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","26059.06980555","1230.55","37",,"100","6.04152542372881","61"
SKF India Ltd,SKFINDIA,"Industrial Machinery","26041.44701025","5237.3","25","19","50","5.49509803921569","97"
Motherson Sumi Wiring India Ltd,MSUMI,"Cables","25797.164777385","58.45","27",,"44",,"80"
Dixon Technologies (India) Ltd,DIXON,"Home Electronics & Appliances","25792.52945325","4265.35","16","12","19","8","66"
Voltas Ltd,VOLTAS,"Home Electronics & Appliances","25737.8695009","777.4","3","28","16","4.88571428571429","72"
Lloyds Metals And Energy Ltd,LLOYDSME,"Iron & Steel","25518.864321","564.05","78","46","96",,"23"
Kansai Nerolac Paints Ltd,KANSAINER,"Paints","25496.2919532","318.4","15","20","33","4.00267857142857","84"
Tata Chemicals Ltd,TATACHEM,"Diversified Chemicals","25418.30763745","994.45","81","77","36","2.65178571428571","64"
J K Cement Ltd,JKCEMENT,"Cement","25354.80388314","3211","41","48","55","5.10945945945946","19"
Escorts Ltd,ESCORTS,"Tractors","25240.976076810002","2344.7","51","24","64","6.85","13"
Timken India Ltd,TIMKEN,"Industrial Machinery","25045.95795365","3267.7","36","14","62","6.36960784313726","32"
Rail Vikas Nigam Ltd,RVNL,"Specialized Finance","24999.390999","128.7","94","76","90","6.71428571428572","99"
Fortis Healthcare Ltd,FORTIS,"Hospitals & Diagnostic Centres","24841.89785994","334.95","36","25","39","2.96538461538462","44"
Devyani International Ltd,DEVYANI,"Restaurants & Cafes","24097.922571220002","195.45","6",,"5","6.4","56"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","24047.2768","2203.85","54","17","57","6.58725490196078","78"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","23940.4103352","12621.75","28",,"86","4.93305084745763","76"
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,"Pharmaceuticals","23748.18487629","1393.7","14","37","9","3.555","66"
Bank of Maharashtra Ltd,MAHABANK,"Public Banks","23580.97421787","32.75","100","99","87","6.25645161290323","27"
Endurance Technologies Ltd (CN),ENDURANCE,"Auto Parts","23551.88395488","1684.3","50","46","61","5.92457627118644","63"
Relaxo Footwears Ltd,RELAXO,"Footwear","23447.52541534","929.65","12",,"15","8.16","22"
Piramal Enterprises Ltd,PEL,"Diversified Financials","23170.15844244","976.05","94","95","43","4.65909090909091","80"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","23143.44301577","1215.9","73","34","94","5.00982142857143","46"
KEI Industries Ltd,KEI,"Cables","23117.22378378","2570.75","52","27","94","5.97285714285714","76"
CPSE ETF,CPSEETF,"Equity","23025.673136880003","44.77",,,,,
Punjab & Sind Bank,PSB,"Public Banks","22603.917800745003","33.25","92",,"82","3.99838709677419","25"
Kajaria Ceramics Ltd,KAJARIACER,"Building Products - Ceramics","22603.3332655","1463.5","20","29","40","5.75238095238095","80"
KPR Mill Ltd,KPRMILL,"Textiles","22375.14444","647.7","57","55","58","6.625","27"
Prestige Estates Projects Ltd,PRESTIGE,"Real Estate","22159.632233120003","550.1","56","47","59","5.80535714285714","22"
Navin Fluorine International Ltd,NAVINFLUOR,"Specialty Chemicals","21900.2548356","4474.95","54","27","56","6.0343137254902","5"
Bata India Ltd,BATAINDIA,"Footwear","21853.5376262","1698","1","12","15","3.82","52"
Ramco Cements Ltd,RAMCOCEM,"Cement","21803.8793645","909.35","75","34","63","3.76621621621622","13"
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","21739.11721546","1049.3","7","6","13","4.08582089552239","28"
Zee Entertainment Enterprises Ltd,ZEEL,"TV Channels & Broadcasters","21438.7934544","223.2","14","56","1","6.23461538461539","44"
Bharat Dynamics Ltd,BDL,"Aerospace & Defense Equipments","21417.33046875","1172.8","26","43","91","4.75","97"
IIFL Finance Ltd,IIFL,"Investment Banking & Brokerage","21140.632392","562.15","91","76","81","5.31818181818182","10"
Exide Industries Ltd,EXIDEIND,"Batteries","21139.5","251","69","58","99","5.54830508474576","27"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","21111.41794","388","96","96","47","4.02272727272727","7"
Narayana Hrudayalaya Ltd,NH,"Hospitals & Diagnostic Centres","21081.694920525","1029.45","62","26","64","4.48461538461538","68"
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","21023.46121668","4681.1","10","20","25","5.25147058823529","91"
