Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Average Volume","1D Change in Volume","1W Return vs Nifty","1W Return","1D Return","Close Price","Face value","Daily Volume","6M Return vs Nifty","5Y CAGR","1Y Return","% Away From 52W Low","% Away From 52W High","1M Return vs Nifty","1M Return"
Shree Rama Newsprint Ltd,RAMANEWS,"Paper Products","187.35298064","-42.68549875199872","-17.589576547231268","39622.13636363636","37.03336964055847","-3.1417006529226774","-1.937984496124031","-0.39370078740156644","12.65","10","27678","-26.54394430059216","-13.877653762523002","-19.936708860759495","22.222222222222232","45.05928853754941","-11.296470867363134","-6.9852941176470535"
DE Neers Tools Ltd,DENEERS,"Industrial Machinery","187.1892","-22.748789891239223",,"51545.454545454544","888.8888888888889","-4.3198057698332715","-3.1160896130346254","9.356321839080458","237.85","10","106800","-8.95436775336089",,,"45.965019944768336","9.922219886483074","27.498188725484816","31.809365475200895"
Eros International Media Ltd,EROSMEDIA,"Movies & TV Serials","187.03253205","-40.1857646811552","-26.951672862453535","1680792.6363636365","-42.023904637970055","-2.7074755552948906","-1.5037593984962443","0.769230769230762","19.65","10","216968","-35.906040615814426","-29.707107657099762","-17.436974789915975","11.016949152542367","143.25699745547075","-34.87654777445107","-30.56537102473499"
North Eastern Carrying Corporation Ltd,NECCLTD,"Logistics","186.93487848","-40.08841012362344","-15.351795468433536","87165.85714285714","-54.92078030908347","-0.1701244255325003","1.0335917312661462","-0.25510204081633014","19.55","10","46263","-24.306163221794428","10.79484520020031","-17.339620232384217","48.730472046660786","45.598472723673254","-3.015839962151314","1.2953367875647668"
Mangal Credit and Fincorp Ltd,MANCREDIT,"Consumer Finance","186.47653483","-44.27740133581706","-14.104248795444597","36341","37.31725905910067","-3.9318907599732498","-2.7281746031746033","1.5535991714137753","98.05","10","19819","-23.05861654880549","81.34079641290653","-21.528611444577834","3.1019978969505813","41.764405915349315","-17.73281030379997","-13.421633554083888"
Lorenzini Apparels Ltd,LAL,"Apparel & Accessories","186.0491086","433.3915609859538","158.48776871756857","5952.363636363636","629.895795903701","-15.96783250976859","-14.764116352969943","-4.986376021798368","174.35","10","20313","149.5334009642077","97.51441264611138","456.140350877193","511.7543859649123","34.21279036420992","-23.199290264486955","-18.888113514770875"
Panasonic Energy India Co Ltd,PANAENERG,"Batteries","185.6625","-2.680075259064605","14.514263685427926","12167.454545454546","1377.4353009595814","16.55644241604576","17.760158572844404","19.99596041203797","297.05","10","101618","5.559895932067036","0.48154676409359887","20.06871463217462","48.08075772681954","4.359535431745498","23.50723977351972","27.818416523235804"
Jasch Industries Ltd,JASCH,"Textiles","185.5854","-25.69166352078338","-0.5322294500295717","13252.227272727272","14.653272512941419","-0.30389612080584505","0.8998200359928015","2.686202686202672","168.2","10","22370","-9.486597203390462","24.11891675776474","-2.942873629544156","39.87525987525986","39.714625445897745","-4.666626986682919","-0.3554502369668381"
Dangee Dums Ltd,DANGEE,"FMCG - Foods","185.539875","-79.78718111610212","-36.31436314363143","624598.2727272727","93.9981825050798","-3.28704949013198","-2.0833333333333335","-2.4896265560166033","11.75","1","569988","-45.268730896992324",,"-57.03839122486289","0.42735042735042583","176.17021276595744","-19.473631623362287","-15.162454873646208"
Hindustan Organic Chemicals Ltd,HOCL,"Commodity Chemicals","185.0618905","-23.650003062816353","-9.668246445497628","48085.77272727273","29.41879445027399","-0.39271474636140946","0.8110014104372371","3.77495462794918","28.59","10","44401","-18.622614198858518","6.983498943150557","-0.9012131715771284","38.45036319612591","21.720881427072403","-2.313317313397855","1.9978594363182258"
Avonmore Capital & Management Services Ltd,AVONMORE,"Investment Banking & Brokerage","184.7239702","-23.902636045085384","13.382352941176462","62191.13636363636","18.73375788902533","-6.660491141470631","-5.456774984671984","-2.5284450063211126","77.1","10","41577","4.4279851878155725","26.50144435980495","-1.153846153846161","32.588134135855526","33.59273670557719","9.238160510961368","13.549337260677449"
Tyche Industries Ltd,TYCHE,"Pharmaceuticals","183.7825","16.83454344209412","38.278816199376955","8246.90909090909","-3.6754050849690425","-0.9779188099174692","0.22579734688117734","-0.9760178471834913","177.55","10","7312","29.324448446016063","16.00929659939201","39.58333333333334","47.95833333333335","23.34553646860038","-10.912965282067464","-6.601788532351384"
Nippon India ETF Nifty SDL-2026 Maturity,SDL26BEES,"Debt","183.7082079","-15.00929012719958","3.5749931948099194","10161.727272727272","188.07339449541286","-1.0897010717258437","0.11401508507280272","0.1667251667251772","114.15","0","314","-5.37937455855097",,"7.7394997640396435","7.892249527410211","3.372755146736739","-3.9153983855999837","0.39577836411609746"
Palred Technologies Ltd,PALREDTEC,"IT Services & Consulting","183.61081566","-15.358088989087936","-11.621930325528268","62396.36363636364","10.047464636496075","3.8183401716709873","5.022056328469634","3.0979347101932087","154.75","10","23417","-20.57629807888916","27.795323289063802","7.390700902151288","27.576257213520194","25.363489499192248","8.480368439788302","12.791545189504383"
