Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Dividend Yield","Dividend Yield vs Sector","Dividend Yield vs Sub-sector","Enterprise Value","EV / Invested Capital","EV / Revenue Ratio","EV / Free Cash Flow","EV / EBIT Ratio","EV/EBITDA Ratio","Sector PB","Sector Dividend Yield","Sector PE","Price / Free Cash Flow","PB Premium vs Sub-sector","PB Ratio","PB Premium vs Sector","PE Premium vs Sub-sector","PE Premium vs Sector","Forward PE Ratio","Price / Sales","Price / CFO","PS Ratio","PS Premium vs Sub-sector","Forward PS Ratio"
Shiva Cement Ltd,SHIVACEM,"Cement","968.175","-12.030007455268388",,,,"1656.675","2.182448721495475","477.42795389048985",,,,"2.8765341010688186","3.333165938742793","20.57991125317835",,"603.8419906351537","16.902496508379894","487.5993787836384","-131.41860877512178","-158.45509879645607",,"279.01296829971176",,"279.01296829971176","13485.383886309244",
Chemcon Speciality Chemicals Ltd,CHEMCON,"Specialty Chemicals","965.21897135","17.514407028669936","1.518038956435603","-1.81512698230719","1.0888538311757776","777.1589713499999","1.7148256208075903","2.457808258538899","32.20716831123084","10.27444435946589","9.250791231401024","2.8765341010688186","3.333165938742793","20.57991125317835","40.00078621425612","-65.61204916883162","2.313675083537082","-19.567263858356412","-47.28442643069857","-14.895614401811272",,"3.052558416666667","13.00483658515225","3.052558416666667","-24.80777098198643",
Manaksia Ltd,MANAKSIA,"Metals - Diversified","959.09082175","8.978569759876427","2.0498804236419543","-1.2832855151008387","-28.554483519340554","211.0808217499998","0.1758171716351398","0.16985388643459493","1.5386020974560815","1.0410891331689263","0.9444332069351222","2.8765341010688186","3.333165938742793","20.57991125317835","6.990967430206283","-52.763129379713476","0.8825718429649395","-69.31822074916452","-13.01616292423161","-56.372164828991764",,"0.7717674309176645","6.865360212956336","0.7717674309176645","4.331659069430678",
Monarch Networth Capital Ltd,MONARCH,"Investment Banking & Brokerage","953.59627929","22.186977182177767","0.325604437373832","-0.7722161689924936","-5.078454229888855","467.70627928999994","2.528688793739186","2.8868975945312014","10.776642379953914","8.073645421888488","7.92051277375106","2.356395732210513","1.0978206063663256","15.462357448790888","21.972264499769583","98.60371727865905","5.6781962563415505","140.96955272512258","95.59156614852165","43.490261790013946",,"5.8860334503425715","21.16281134687084","5.8860334503425715","123.90699776186264",
Saint-Gobain Sekurit India Ltd,SAINTGOBAIN,"Auto Parts","952.5100935","32.9930756321441","1.4347202295552366","0.8027348536024749","0.6286766934519312","812.4000935000001","4.349036903104926","4.191950946852426","25.50706729984302","20.708643729288816","18.80991186617273","6.227419483210649","0.6319853759527617","62.005469627004246","29.906125384615386","-2.2775532439962203","5.266560286962291","-15.429492084785181","-38.83468070691812","-46.790056053740216",,"4.914912763157895","27.94104117043121","4.914912763157895","155.2511090352476",
Jagsonpal Pharmaceuticals Ltd,JAGSNPHARM,"Pharmaceuticals","950.59443","35.576138847305415","1.3779798814937303","0.5688897715411493","0.3946034984765989","902.30443","6.895188980589943","3.721610352650031","175.88780311890838","25.619092277115293","24.768169914905314","4.871098330521277","0.809090109952581","37.97941699676498","185.30105847953217","68.57353117960976","7.264209307657037","49.128775786377176","5.350838270064921","-6.327843709829126",,"3.9207854402969686","169.74900535714286","3.9207854402969686","1.0538700965262797",
GTL Infrastructure Ltd,GTLINFRA,"Telecom Infrastructure","950.33270595","-0.5230488609507351",,,,"5267.5727059499995",,"3.5463989187251315","10.464198148453486",,,"8.389482910929395","0.4340510213770647","-62.232263327495986","1.8878656825721607","-117.50133945784411","-0.34613690055508184","-104.12584308508636","-102.43563542578488","99.15952139134293",,"0.6398125035850619","1.8878656825721607","0.6398125035850619","-58.02157086087491",
Nahar Spinning Mills Ltd,NAHARSPING,"Textiles","949.59942799","8.570391949368233","0.5703368483976208","-0.06164852755514094","0.024210001425467143","1958.71942799","0.749482262004339","0.6893913650038892","12.601128589745237","10.867887854352773","7.748405506507379","6.227419483210649","0.6319853759527617","62.005469627004246","6.109105944351517","-95.60180193683881","0.5932919902971459","-90.47290788910749","-82.96463605202737","-86.17800655180312",,"0.33422124502064243","3.6342739025221014","0.33422124502064243","-84.04935040795525",
Renaissance Global Ltd,RGL,"Precious Metals, Jewellery & Watches","949.163846","10.902410360670839",,,,"1398.7538459999998","0.8582786282306162","0.6236974717748408","21.190029480381757","10.321383161157046","8.347280813988197","6.227419483210649","0.6319853759527617","62.005469627004246","14.3790917436752","-90.83234045797172","1.0270779816910858","-83.50716561715289","-81.82980231764425","-82.41701832716595",,"0.4232274983501882","11.025250853757695","0.4232274983501882","-46.09817764132583",
Kamdhenu Ventures Ltd,KAMOPAINTS,"Commodity Chemicals","945.7370175","-83.84193417553216",,,,"945.7570175","15762.616958333334","3.6394867139998457",,,,"2.8765341010688186","3.333165938742793","20.57991125317835",,"2483184.717524249","94573.70175000005","3287665.70786558","-490.1693150063617","-507.396966605401",,"3.6394097494804893",,"3.6394097494804893","65.2913004556387",
