Name,Ticker,"Sub-Sector","Market Cap","Close Price","Depreciation & Amortization","Dividend Per Share","EBITDA","Employee Cost","Earnings Per Share","Interest & Other Items","Net Income","Operating & Other expenses","PBIT","PBT","Power & Fuel Cost","Payout Ratio","Raw Materials","Selling & Administrative Expenses","Taxes & Other Items","Total Revenue","EBITDA (Q)","EPS (Q)","Net Income (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)","Total revenue (Q)"
Indowind Energy Ltd,INDOWIND,"Renewable Energy","159.3921483","13.4","6.99","0","8.030000000000001",,"-2.14","2.2","-19.26","26.83","1.040000000000001","-1.1599999999999993",,"0",,,"18.1","34.86","-6.380000000000001","-2.77","-24.89","11.13","-6.410000000000001","-6.840000000000001","4.75"
Chaman Metallics Ltd,CMNL,"Iron & Steel","159.2894424","63.9","1.82","0","27.47999999999999",,"8.93","2.23","17.08999999999999","201.5","25.65999999999999","23.42999999999999",,"0",,,"6.34","228.98",,,,,,,
SMS Lifesciences India Ltd,SMSLIFE,"Pharmaceuticals","158.919081155","524.5","10.79","1.5","34.170000000000016",,"37.92","6.79","11.460000000000019","286.81","23.380000000000017","16.590000000000018",,"0.03955696202531645",,,"5.13","320.98","7.090000000000003","5.66","1.7200000000000037","61.45","4.1700000000000035","2.3700000000000037","68.54"
Valiant Communications Ltd,VALIANT,"Telecom Equipments","158.8800027","230.9","2.12","0","4.41",,"2.33","0.05","1.6800000000000002","27.22","2.29","2.24",,"0",,,"0.5599999999999999","31.63","1.7200000000000006","1.21","0.8800000000000008","7.67","1.1100000000000008","1.0800000000000007","9.39"
Mahalaxmi Rubtech Ltd,MHLXMIRU,"Textiles","158.6669085","147.05","8.44","0","24.359999999999985",,"7.95","5.11","8.439999999999985","248.78","15.919999999999986","10.809999999999985",,"0",,,"2.3699999999999997","273.14","6.769999999999996","2.33","2.4899999999999958","69.56","4.6299999999999955","3.1699999999999955","76.33"
Compucom Software Ltd,COMPUSOFT,"Education Services","158.64600194000002","20","6.91","0.4","15.159999999999997",,"0.63","0.41","5.019999999999996","43.27","8.249999999999996","7.839999999999996",,"0.634920634920635",,,"2.8200000000000003","58.43","6.18","0.31","2.4399999999999995","18.88","4.449999999999999","4.289999999999999","25.06"
Krishna Defence & Allied Industries Ltd,KRISHNADEF,"Industrial Machinery","158.634","186.05","1.97","0","9.810000000000002",,"4.63","1.1","5.3000000000000025","54.8","7.8400000000000025","6.740000000000002",,"0",,,"1.44","64.61",,,,,,,
Capital Trade Links Ltd,CTL,"Consumer Finance","158.48702","25.3","0.03","0","3.7699999999999996",,"0.41",,"2.5","13.07","3.7399999999999998","3.7399999999999998",,"0",,,"1.24","16.84","0.6399999999999997","0.08","0.5199999999999997","4.69","0.6299999999999997","0.6299999999999997","5.33"
Sundaram Brake Linings Ltd,SUNDRMBRAK,"Auto Parts","158.386316625","395.5","6.11","0","5.360000000000003","42.9","-12.12329158803682","4.64","-4.769999999999997","22.869999999999965","-0.7499999999999973","-5.389999999999997","33.91","0","217.01","35.56","-0.62","357.60999999999996","4.8700000000000045","5.48","2.1600000000000046","87.31","3.2500000000000044","2.2100000000000044","92.18"
Silicon Rental Solutions Ltd,SRSOLTD,,"158.29152","158.25","15.1","1","30.039999999999992","1.21","13.616641143440523","0.78","10.669999999999993","1.8199999999999998","14.939999999999992","14.159999999999993","0.04","0.07343955014058111","0.92","2.32","3.4899999999999998","36.349999999999994",,,,,,,
