Name,Ticker,"Sub-Sector","Market Cap","Close Price","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Return on Investment","Cost of Goods Sold","Cash Flow Margin","5Y Avg EBITDA Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Balaji Amines Ltd,BALAMINES,"Specialty Chemicals","7152.682755","2214.1","20.18065333490545","11.825279410431662","14.224036375239956","24.673735704263816","16.69056203333257","26.337502372766963","19.22334299693005","1498.79","16.121316938392425","24.600534354756025","13.732098791470692","31.916888158547753","21.608884109630868","17.558460331115647"
Tega Industries Ltd,TEGA,"Industrial Machinery","7136.9691798","1068.15","12.250469468768921","11.5925006998471","11.424289621661199","14.793119413750754","8.186390535091395","23.84319232911209","13.68120668569099",,"1.4007376605331183","21.566024745375397","14.852659870699057","30.74290413477005","17.321726245601038","10.726049895859138"
Schneider Electric Infrastructure Ltd,SCHNEIDER,"Heavy Electrical Equipments","7120.5181623","286.8","5.206939861737649","3.356363003899206","0.9500637199347466","-14.036758666625008","-1.475034291520907","10.816816184497062","14.041140116225439",,"7.814366592219395","5.644841405446618","6.850484016645521","38.618925831202056","17.311730232849662","2.3822564160064856"
Indigo Paints Ltd,INDIGOPNTS,"Paints","7086.133131210001","1501.7","15.693290062423571","11.088874368478322","8.745382756753713","19.7958735535828","10.956586618152683","17.68506553442863","16.917727382327165","601.64","10.717186634668636","15.231119037372107","12.177404467417373","19.717126628465355","18.50363607037915","13.316241818025807"
Home First Finance Company India Ltd,HOMEFIRST,"Home Financing","7061.42319363","810.35","2.716473172445333","-170.25737491937417","23.247073908705406","11.266671809611362","3.053292803185098","38.24660633484163","3.4428674626478517",,"-182.3881347410759","31.907643418893393","28.69406737053796","4.452246407301672","13.46434564129483","3.8517346219128252"
EPL Ltd,EPL,"Packaging","7010.16332595","219.1","11.170497365580458","14.387400712793868","6.894965323114474","13.400576724558414","7.461400368007984","16.484663561907812","10.203656801859614","1803.5","16.10727477115786","18.533833122230554","6.067662330710338","12.710804562852903","11.773871043132756","6.606344071920841"
Prince Pipes and Fittings Ltd,PRINCEPIPE,"Building Products - Pipes","6969.770420160001","633.95","17.21128946485251","9.119974556481791","7.300745985143962","22.4749625724373","10.942618132622009","9.518941539004645","18.578887948066598",,"-0.7324493858693611","13.989552818975502","4.4649226673334805","13.629141639217218","21.604764482945306","14.162809846957604"
Keystone Realtors Ltd,RUSTOMJEE,"Real Estate","6953.35544838","601.8",,"0",,,,"20.313912400361566","6.452072692718844",,"-8.40771468260973",,"11.22387487331196","10.99244116656976","15.626276588005512","3.7079036614287153"
ESAB India Ltd,ESABINDIA,"Industrial Machinery","6919.932141","4528.9","30.395276104902553","9.885485947712997","9.73498258934409","29.728018913186805","18.950011405382902","17.71982523211359","51.528681701225935","695.99","11.764063353358821","14.91969438548659","12.35026397232841","67.60735288678472","53.78897500445991","29.816176066629282"
KNR Constructions Ltd,KNRCON,"Construction & Engineering","6895.872392","243.85","16.545841642936203","3.7373122850430285","11.331371717121648","20.876590500708595","9.555423435063187","24.413825921439695","13.249343101258113",,"-9.133505991453966","25.81050069249426","11.007286920074597","20.805482823823677","16.837389375653167","8.231519017494998"
Laxmi Organic Industries Ltd,LXCHEM,"Specialty Chemicals","6855.86906751","255.35","13.75816365629225","7.918621694546848","5.796493763968902","16.429642920984485","8.197218820271846","9.263393254506552","7.6689529236404885","2089.7799999999997","7.087289804143569","10.785749428546758","4.434807686145501","11.868477773072335","9.217756169036603","5.344019083330833"
Chemplast Sanmar Ltd,CHEMPLASTS,"Building Products - Pipes","6818.47537875","431.55","21.21797200444741","15.74086248107973","7.295094143190781","17.87783780689821","5.969828949661707","9.31154737032885","10.646275523678483","3875.48","7.078911047068594","19.979062929008794","3.0342742537796563","9.036425513960072","8.550582292689795","2.6637339657989565"
Just Dial Ltd,JUSTDIAL,"Online Services","6803.97312814","802.95","14.951859178633331","18.135668448832956","19.51980674248008","15.938836855288443","11.012827188935876","23.07357069739629","2.193119922745251",,"5.065595298461859","29.20864861393938","16.491836176229132","5.41566248372531","2.9820144490661944","2.4342883066179057"
Garden Reach Shipbuilders & Engineers Ltd,GRSE,"Shipbuilding","6796.37016","606.5","13.238232661516989","9.222130436405687","9.323770749147142","13.021721090691566","2.6427826995939854","12.698608024669022","14.99499641475388",,"-18.565187471326688","15.121285015535623","8.25630297722025","22.657488042103438","15.826238721341458","2.6242238067445824"
Tamilnad Mercantile Bank Ltd,TMB,"Private Banks","6749.73072675","433.3",,"0.4705238526935907","14.201093926293803","11.093283745664706","1.0409411797411465","29.588017366750517",,,"28.455490579693027","19.476134325559002","21.851958005583672","17.584519606630845","16.57798557436303","1.637504798992207"
National Highways Infra Trust,NHIT,"Roads","6746.8437324","118.75",,"0",,,,"79.79111973519005","4.094869509422787","0.59","88.99240954228969",,"36.652494007533384","3.6972394305385827","3.8189432309606604","2.8479207650773004"
Kirloskar Ferrous Industries Ltd,KIRLFER,"Iron & Steel","6737.03331513","493.55","14.92331083102097","10.839915047831964","8.140014462609336","20.03457455451177","9.79146213669238","13.685945710229815","12.326746605288802","4263.15","12.335814733143852","15.254955143569287","6.109686737448925","19.780445550052185","13.999815745274915","7.319472464444695"
Sterling and Wilson Renewable Energy Ltd,SWSOLAR,"Renewable Energy Equipment & Services","6717.040921530001","362.2",,"-23.389038711210887","-12.96117519092439","-68.88058474014306","-9.675847578594816","-47.63884903592414",,"0.58","-86.04524265359595","-9.212120304092135","-55.01512322014048","-209.6687957880132","-351.4642465403514","-34.96224418416947"
BEML Ltd,BEML,"Rail","6708.512505","1605.4","5.043284683715565","1.5242742730613208","2.555736875582619","4.0781319156204265","1.7445380568943936","9.892569610507477","6.071270619454031",,"1.1836921709618966","6.949970899654301","4.025197958465688","8.799148224199559","5.636070853462151","2.2100300704790232"
Gujarat State Fertilizers and Chemicals Ltd,GSFC,"Fertilizers & Agro Chemicals","6686.4529534","167.45","5.709644861183123","7.357956547794421","6.71271171735817","5.8470503962691245","4.406024356673415","15.10111505189862","7.711683321631987",,"2.5584002606956995","11.268028927951834","10.98837380886661","12.216509317802888","8.551858028935719","7.106793690161164"
Mastek Ltd,MASTEK,"IT Services & Consulting","6644.011465959999","2217.1","14.528344819317244","11.99854018542255","11.12095781589752","18.07682895830837","10.1288245244946","19.77388656261896","21.256835587878125",,"12.319813326606365","18.9427889156171","11.153787590407308","27.99474893337709","26.09149217379006","12.441272497718353"
BHARAT Bond ETF-April 2030-Growth,EBBETF0430,"Debt","6636.666277530001","1287.28",,,,,,,,,,,,,,
Caplin Point Laboratories Ltd,CAPLIPOINT,"Pharmaceuticals","6595.22550883","858.3","25.865878842788838","15.993967872716977","24.034668143456024","31.233682788273217","24.790684533483805","32.64534177398065","19.876852666318356",,"25.742263943248535","33.827050964512566","24.70859409373583","29.577271299979063","22.101907306735484","19.34495295055051"
