Count: 0	Distance: 0.15ft	Time: 4.74sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.77sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.81sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.84sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.87sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.90sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.93sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.96sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.99sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.03sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.06sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.09sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.12sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.16sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.19sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.22sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.25sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.28sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.31sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.35sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.38sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.41sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.44sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.48sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.50sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.54sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.57sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 5.60sec	Speed: 0.15ft/sec 
